id,name,dataset,time_limit,memory_limit,rating,tags,complexity
p02534,ACL Beginner Contest - Repeat ACL,AtCoder,2000,1048576,A,,
p02535,ACL Beginner Contest - Integer Preference,AtCoder,2000,1048576,B,,
p02536,ACL Beginner Contest - Connect Cities,AtCoder,2000,1048576,C,,
p02537,ACL Beginner Contest - Flat Subsequence,AtCoder,2000,1048576,D,,
p02538,ACL Beginner Contest - Replace Digits,AtCoder,2000,1048576,E,,
p02539,ACL Beginner Contest - Heights and Pairs,AtCoder,2000,1048576,F,,
p02546,AtCoder Beginner Contest 179 - Plural Form,AtCoder,2000.0,1048576.0,A,,
p02547,AtCoder Beginner Contest 179 - Go to Jail,AtCoder,2000.0,1048576.0,B,,
p02548,AtCoder Beginner Contest 179 - A x B + C,AtCoder,2000.0,1048576.0,C,,
p02549,AtCoder Beginner Contest 179 - Leaping Tak,AtCoder,2000.0,1048576.0,D,,
p02550,AtCoder Beginner Contest 179 - Sequence Sum,AtCoder,2000.0,1048576.0,E,,
p02551,AtCoder Beginner Contest 179 - Simplified Reversi,AtCoder,2000.0,1048576.0,F,,
p02552,AtCoder Beginner Contest 178 - Not,AtCoder,2000.0,1048576.0,A,,
p02553,AtCoder Beginner Contest 178 - Product Max,AtCoder,2000.0,1048576.0,B,,
p02554,AtCoder Beginner Contest 178 - Ubiquity,AtCoder,2000.0,1048576.0,C,,
p02555,AtCoder Beginner Contest 178 - Redistribution,AtCoder,2000.0,1048576.0,D,,
p02556,AtCoder Beginner Contest 178 - Dist Max,AtCoder,2000.0,1048576.0,E,,
p02557,AtCoder Beginner Contest 178 - Contrast,AtCoder,2000.0,1048576.0,F,,
p02570,AtCoder Beginner Contest 177 - Don't be late,AtCoder,2000.0,1048576.0,A,,
p02571,AtCoder Beginner Contest 177 - Substring,AtCoder,2000.0,1048576.0,B,,
p02572,AtCoder Beginner Contest 177 - Sum of product of pairs,AtCoder,2000.0,1048576.0,C,,
p02573,AtCoder Beginner Contest 177 - Friends,AtCoder,2000.0,1048576.0,D,,
p02574,AtCoder Beginner Contest 177 - Coprime,AtCoder,2000.0,1048576.0,E,,
p02575,AtCoder Beginner Contest 177 - I hate Shortest Path Problem,AtCoder,2000.0,1048576.0,F,,
p02576,AtCoder Beginner Contest 176 - Takoyaki,AtCoder,2000.0,1048576.0,A,,
p02577,AtCoder Beginner Contest 176 - Multiple of 9,AtCoder,2000.0,1048576.0,B,,
p02578,AtCoder Beginner Contest 176 - Step,AtCoder,2000.0,1048576.0,C,,
p02579,AtCoder Beginner Contest 176 - Wizard in Maze,AtCoder,2000.0,1048576.0,D,,
p02580,AtCoder Beginner Contest 176 - Bomber,AtCoder,3000.0,1048576.0,E,,
p02581,AtCoder Beginner Contest 176 - Brave CHAIN,AtCoder,2000.0,1048576.0,F,,
p02582,AtCoder Beginner Contest 175 - Rainy Season,AtCoder,2000.0,1048576.0,A,,
p02583,AtCoder Beginner Contest 175 - Making Triangle,AtCoder,2000.0,1048576.0,B,,
p02584,AtCoder Beginner Contest 175 - Walking Takahashi,AtCoder,2000.0,1048576.0,C,,
p02585,AtCoder Beginner Contest 175 - Moving Piece,AtCoder,3000.0,1048576.0,D,,
p02586,AtCoder Beginner Contest 175 - Picking Goods,AtCoder,3000.0,1048576.0,E,,
p02587,AtCoder Beginner Contest 175 - Making Palindrome,AtCoder,2000.0,1048576.0,F,,
p02594,AtCoder Beginner Contest 174 - Air Conditioner,AtCoder,2000.0,1048576.0,A,,
p02595,AtCoder Beginner Contest 174 - Distance,AtCoder,2000.0,1048576.0,B,,
p02596,AtCoder Beginner Contest 174 - Repsept,AtCoder,2000.0,1048576.0,C,,
p02597,AtCoder Beginner Contest 174 - Alter Altar,AtCoder,2000.0,1048576.0,D,,
p02598,AtCoder Beginner Contest 174 - Logs,AtCoder,2000.0,1048576.0,E,,
p02599,AtCoder Beginner Contest 174 - Range Set Query,AtCoder,2000.0,1048576.0,F,,
p02612,AtCoder Beginner Contest 173 - Payment,AtCoder,2000.0,1048576.0,A,,
p02613,AtCoder Beginner Contest 173 - Judge Status Summary,AtCoder,2000.0,1048576.0,B,,
p02614,AtCoder Beginner Contest 173 - H and V,AtCoder,1000.0,1048576.0,C,,
p02615,AtCoder Beginner Contest 173 - Chat in a Circle,AtCoder,2000.0,1048576.0,D,,
p02616,AtCoder Beginner Contest 173 - Multiplication 4,AtCoder,2000.0,1048576.0,E,,
p02617,AtCoder Beginner Contest 173 - Intervals on Tree,AtCoder,2000.0,1048576.0,F,,
p02621,AtCoder Beginner Contest 172 - Calc,AtCoder,2000.0,1048576.0,A,,
p02622,AtCoder Beginner Contest 172 - Minor Change,AtCoder,2000.0,1048576.0,B,,
p02623,AtCoder Beginner Contest 172 - Tsundoku,AtCoder,2000.0,1048576.0,C,,
p02624,AtCoder Beginner Contest 172 - Sum of Divisors,AtCoder,3000.0,1048576.0,D,,
p02625,AtCoder Beginner Contest 172 - NEQ,AtCoder,2000.0,1048576.0,E,,
p02626,AtCoder Beginner Contest 172 - Unfair Nim,AtCoder,2000.0,1048576.0,F,,
p02627,AtCoder Beginner Contest 171 - αlphabet,AtCoder,2000.0,1048576.0,A,,
p02628,AtCoder Beginner Contest 171 - Mix Juice,AtCoder,2000.0,1048576.0,B,,
p02629,AtCoder Beginner Contest 171 - One Quadrillion and One Dalmatians,AtCoder,2000.0,1048576.0,C,,
p02630,AtCoder Beginner Contest 171 - Replacing,AtCoder,2000.0,1048576.0,D,,
p02631,AtCoder Beginner Contest 171 - Red Scarf,AtCoder,2000.0,1048576.0,E,,
p02632,AtCoder Beginner Contest 171 - Strivore,AtCoder,2000.0,1048576.0,F,,
p02639,AtCoder Beginner Contest 170 - Five Variables,AtCoder,2000.0,1048576.0,A,,
p02640,AtCoder Beginner Contest 170 - Crane and Turtle,AtCoder,2000.0,1048576.0,B,,
p02641,AtCoder Beginner Contest 170 - Forbidden List,AtCoder,2000.0,1048576.0,C,,
p02642,AtCoder Beginner Contest 170 - Not Divisible,AtCoder,2000.0,1048576.0,D,,
p02643,AtCoder Beginner Contest 170 - Smart Infants,AtCoder,3500.0,1048576.0,E,,
p02644,AtCoder Beginner Contest 170 - Pond Skater,AtCoder,3000.0,1048576.0,F,,
p02657,AtCoder Beginner Contest 169 - Multiplication 1,AtCoder,2000.0,1048576.0,A,,
p02658,AtCoder Beginner Contest 169 - Multiplication 2,AtCoder,2000.0,1048576.0,B,,
p02659,AtCoder Beginner Contest 169 - Multiplication 3,AtCoder,2000.0,1048576.0,C,,
p02660,AtCoder Beginner Contest 169 - Div Game,AtCoder,2000.0,1048576.0,D,,
p02661,AtCoder Beginner Contest 169 - Count Median,AtCoder,2000.0,1048576.0,E,,
p02662,AtCoder Beginner Contest 169 - Knapsack for All Subsets,AtCoder,2000.0,1048576.0,F,,
p02675,AtCoder Beginner Contest 168 - ∴ (Therefore),AtCoder,2000.0,1048576.0,A,,
p02676,AtCoder Beginner Contest 168 - ... (Triple Dots),AtCoder,2000.0,1048576.0,B,,
p02677,AtCoder Beginner Contest 168 - : (Colon),AtCoder,2000.0,1048576.0,C,,
p02678,AtCoder Beginner Contest 168 - .. (Double Dots),AtCoder,2000.0,1048576.0,D,,
p02679,AtCoder Beginner Contest 168 - ∙ (Bullet),AtCoder,2000.0,1048576.0,E,,
p02680,AtCoder Beginner Contest 168 - . (Single Dot),AtCoder,3000.0,1048576.0,F,,
p02681,AtCoder Beginner Contest 167 - Registration,AtCoder,2000.0,1048576.0,A,,
p02682,AtCoder Beginner Contest 167 - Easy Linear Programming,AtCoder,2000.0,1048576.0,B,,
p02683,AtCoder Beginner Contest 167 - Skill Up,AtCoder,2000.0,1048576.0,C,,
p02684,AtCoder Beginner Contest 167 - Teleporter,AtCoder,2000.0,1048576.0,D,,
