from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Runtime Error,Runtime Error,254,False,,u005788584,p02546
Runtime Error,Runtime Error,148584,False,,u005788584,p02546
Runtime Error,Accepted,290,False,G3,u013227739,p02546
Runtime Error,Wrong Answer,187,False,G2,u027244216,p02546
Wrong Answer,Accepted,143,False,G2,u027244216,p02546
Runtime Error,Accepted,99,False,G4,u044562021,p02546
Runtime Error,Wrong Answer,122,False,G3,u050103839,p02546
Wrong Answer,Accepted,50,False,G3,u050103839,p02546
Runtime Error,Accepted,362,False,G4,u060012100,p02546
Runtime Error,Accepted,47,False,,u071905150,p02546
Runtime Error,Accepted,213,False,G5,u075109824,p02546
Runtime Error,Runtime Error,65,False,G2,u085186789,p02546
Runtime Error,Accepted,37,False,G2,u085186789,p02546
Runtime Error,Accepted,77,False,G2,u095658362,p02546
Runtime Error,Accepted,132,False,G3,u101850722,p02546
Runtime Error,Accepted,75,False,G4,u103831818,p02546
Runtime Error,Accepted,109,False,,u105862524,p02546
Runtime Error,Accepted,38,False,G4,u110207693,p02546
Runtime Error,Accepted,23,False,G4,u111559399,p02546
Runtime Error,Accepted,37,False,G4,u122441571,p02546
Runtime Error,Runtime Error,791,False,G1,u131620462,p02546
Runtime Error,Runtime Error,191,False,G1,u131620462,p02546
Runtime Error,Runtime Error,72,False,G1,u131620462,p02546
Runtime Error,Runtime Error,174,False,G1,u131620462,p02546
Runtime Error,Compile Error,1326,False,G1,u131620462,p02546
Compile Error,Runtime Error,53,False,G1,u131620462,p02546
Runtime Error,Runtime Error,2038,False,G1,u131620462,p02546
Runtime Error,Runtime Error,94,False,G1,u131620462,p02546
Runtime Error,Runtime Error,42,False,G1,u131620462,p02546
Runtime Error,Runtime Error,74,False,G1,u131620462,p02546
Runtime Error,Accepted,326,False,G1,u131620462,p02546
Runtime Error,Accepted,76,False,G5,u135832955,p02546
Runtime Error,Accepted,109,False,G3,u143361448,p02546
Runtime Error,Wrong Answer,496,False,G4,u149966539,p02546
Wrong Answer,Accepted,90,False,G4,u149966539,p02546
Runtime Error,Runtime Error,110,False,G3,u150822738,p02546
Runtime Error,Runtime Error,415,False,G3,u150822738,p02546
Runtime Error,Runtime Error,197,False,G3,u150822738,p02546
Runtime Error,Accepted,234,False,G3,u150822738,p02546
Runtime Error,Accepted,58,False,G3,u153823221,p02546
Runtime Error,Runtime Error,101,False,G3,u167542063,p02546
Runtime Error,Accepted,528,False,G3,u167542063,p02546
Runtime Error,Accepted,54,False,G4,u170349801,p02546
Runtime Error,Accepted,74,False,G3,u173167037,p02546
Runtime Error,Runtime Error,153,False,G2,u179411549,p02546
Runtime Error,Wrong Answer,341,False,G2,u179411549,p02546
Wrong Answer,Runtime Error,260,False,G2,u179411549,p02546
Runtime Error,Wrong Answer,83,False,G2,u179411549,p02546
Wrong Answer,Accepted,66,False,G2,u179411549,p02546
Runtime Error,Wrong Answer,154,False,G2,u181138123,p02546
Wrong Answer,Accepted,38,False,G2,u181138123,p02546
Runtime Error,Accepted,51,False,G4,u185405877,p02546
Runtime Error,Runtime Error,200,False,G3,u194039205,p02546
Runtime Error,Accepted,117,False,G3,u194039205,p02546
Runtime Error,Accepted,82,False,,u194390510,p02546
Runtime Error,Wrong Answer,31,False,G3,u200769489,p02546
