from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Time Limit Exceeded,Runtime Error,216,False,G1,u581441811,p02546
Runtime Error,Runtime Error,115,False,G1,u581441811,p02546
Runtime Error,Accepted,26,False,G1,u581441811,p02546
Time Limit Exceeded,Accepted,481,False,G1,u098872622,p02552
Time Limit Exceeded,Accepted,33,False,G6,u656771711,p02552
Time Limit Exceeded,Wrong Answer,217,False,G3,u247457760,p02576
Wrong Answer,Wrong Answer,54,False,G3,u247457760,p02576
Wrong Answer,Accepted,319,False,G3,u247457760,p02576
Time Limit Exceeded,Accepted,719,False,,u279008384,p02576
Time Limit Exceeded,Wrong Answer,369,False,G3,u307169063,p02576
Wrong Answer,Accepted,1846,False,G3,u307169063,p02576
Time Limit Exceeded,Wrong Answer,393,False,G3,u403375297,p02576
Wrong Answer,Accepted,156,False,G3,u403375297,p02576
Time Limit Exceeded,Accepted,156,False,,u798213498,p02576
Time Limit Exceeded,Wrong Answer,140,False,G4,u089481820,p02582
Wrong Answer,Accepted,220,False,G4,u089481820,p02582
Time Limit Exceeded,Accepted,35,False,G6,u229051304,p02582
Time Limit Exceeded,Accepted,16,False,G6,u246127272,p02582
Time Limit Exceeded,Wrong Answer,28,False,G5,u404420811,p02582
Wrong Answer,Wrong Answer,179,False,G5,u404420811,p02582
Wrong Answer,Accepted,35,False,G5,u404420811,p02582
Time Limit Exceeded,Wrong Answer,42,False,G5,u405337522,p02582
Wrong Answer,Accepted,109,False,G5,u405337522,p02582
Time Limit Exceeded,Compile Error,45,False,G1,u413860554,p02582
Compile Error,Wrong Answer,304,False,G1,u413860554,p02582
Wrong Answer,Accepted,233,False,G1,u413860554,p02582
Time Limit Exceeded,Time Limit Exceeded,231,False,G2,u433311401,p02582
Time Limit Exceeded,Wrong Answer,179,False,G2,u433311401,p02582
Wrong Answer,Accepted,94,False,G2,u433311401,p02582
Time Limit Exceeded,Accepted,41,False,G6,u486906248,p02582
Time Limit Exceeded,Accepted,44,False,G6,u652421746,p02582
Time Limit Exceeded,Accepted,50,False,G5,u670975923,p02582
Time Limit Exceeded,Accepted,30,False,G5,u685978216,p02582
Time Limit Exceeded,Wrong Answer,98,False,G2,u703646047,p02582
Wrong Answer,Wrong Answer,82,False,G2,u703646047,p02582
Wrong Answer,Wrong Answer,94,False,G2,u703646047,p02582
Wrong Answer,Wrong Answer,46,False,G2,u703646047,p02582
Wrong Answer,Wrong Answer,50,False,G2,u703646047,p02582
Wrong Answer,Accepted,87,False,G2,u703646047,p02582
Time Limit Exceeded,Accepted,60,False,G3,u883604779,p02582
Time Limit Exceeded,Wrong Answer,567,False,G3,u993037852,p02582
Wrong Answer,Wrong Answer,80,False,G3,u993037852,p02582
