from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Time Limit Exceeded,Accepted,147,False,G3,u273914730,p02547
Time Limit Exceeded,Accepted,65,False,G4,u323864528,p02547
Time Limit Exceeded,Wrong Answer,52,False,G6,u504467586,p02547
Wrong Answer,Accepted,57,False,G6,u504467586,p02547
Time Limit Exceeded,Time Limit Exceeded,190,False,G3,u006068613,p02553
Time Limit Exceeded,Accepted,1099,False,G3,u006068613,p02553
Time Limit Exceeded,Wrong Answer,804,False,G1,u012068777,p02553
Wrong Answer,Wrong Answer,1701,False,G1,u012068777,p02553
Wrong Answer,Wrong Answer,1622,False,G1,u012068777,p02553
Wrong Answer,Wrong Answer,298,False,G1,u012068777,p02553
Time Limit Exceeded,Accepted,815,False,G2,u016526579,p02553
Time Limit Exceeded,Accepted,318,False,G4,u025047544,p02553
Time Limit Exceeded,Wrong Answer,302,False,G2,u028356400,p02553
Wrong Answer,Accepted,2552,False,G2,u028356400,p02553
Time Limit Exceeded,Accepted,149,False,G3,u038216098,p02553
Time Limit Exceeded,Accepted,471,False,G4,u056118261,p02553
Time Limit Exceeded,Wrong Answer,518,False,G3,u081152316,p02553
Wrong Answer,Wrong Answer,2028,False,G3,u081152316,p02553
Wrong Answer,Accepted,390,False,G3,u081152316,p02553
Time Limit Exceeded,Accepted,1465,False,G3,u081954647,p02553
Time Limit Exceeded,Wrong Answer,1696,False,,u113480383,p02553
Time Limit Exceeded,Accepted,206,False,G3,u117010804,p02553
Time Limit Exceeded,Accepted,326,False,G5,u124735330,p02553
Time Limit Exceeded,Wrong Answer,358,False,G3,u143361448,p02553
Wrong Answer,Wrong Answer,94,False,G3,u143361448,p02553
Wrong Answer,Time Limit Exceeded,2799,False,G3,u143361448,p02553
Time Limit Exceeded,Wrong Answer,749,False,G3,u143361448,p02553
Wrong Answer,Wrong Answer,101,False,G3,u143361448,p02553
Wrong Answer,Wrong Answer,317,False,G3,u143361448,p02553
Wrong Answer,Wrong Answer,143,False,G3,u143361448,p02553
