from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Compile Error,Accepted,76,False,G5,u006785216,p02548
Compile Error,Accepted,13,False,G6,u009874178,p02548
Compile Error,Accepted,25,False,G6,u016119075,p02548
Compile Error,Accepted,22,False,G5,u045517372,p02548
Compile Error,Wrong Answer,46,False,G4,u054572372,p02548
Compile Error,Wrong Answer,52,False,G5,u075304271,p02548
Wrong Answer,Accepted,45426,False,G5,u075304271,p02548
Compile Error,Compile Error,41,False,G4,u101983458,p02548
Compile Error,Time Limit Exceeded,3068,False,G4,u101983458,p02548
Compile Error,Accepted,32,False,G4,u105921924,p02548
Compile Error,Time Limit Exceeded,58,False,G5,u111531073,p02548
Time Limit Exceeded,Accepted,417,False,G5,u111531073,p02548
Compile Error,Compile Error,38,False,G1,u115990590,p02548
Compile Error,Compile Error,53,False,G1,u115990590,p02548
Compile Error,Wrong Answer,146,False,G1,u115990590,p02548
Wrong Answer,Compile Error,348,False,G1,u115990590,p02548
Compile Error,Wrong Answer,101,False,G6,u119187285,p02548
Compile Error,Time Limit Exceeded,22,False,G6,u133356919,p02548
Time Limit Exceeded,Time Limit Exceeded,938,False,G6,u133356919,p02548
Time Limit Exceeded,Wrong Answer,302,False,G6,u133356919,p02548
Wrong Answer,Time Limit Exceeded,51,False,G6,u133356919,p02548
Time Limit Exceeded,Accepted,529,False,G6,u133356919,p02548
Compile Error,Wrong Answer,40,False,G3,u143361448,p02548
Wrong Answer,Time Limit Exceeded,152,False,G3,u143361448,p02548
Time Limit Exceeded,Accepted,587,False,G3,u143361448,p02548
Compile Error,Time Limit Exceeded,59,False,G4,u162699361,p02548
Time Limit Exceeded,Time Limit Exceeded,1957,False,G4,u162699361,p02548
Compile Error,Accepted,955,False,G6,u183617499,p02548
Compile Error,Compile Error,995,False,G3,u198319923,p02548
Compile Error,Time Limit Exceeded,129,False,G3,u198319923,p02548
Time Limit Exceeded,Wrong Answer,633,False,G3,u198319923,p02548
Wrong Answer,Compile Error,441,False,G3,u198319923,p02548
Compile Error,Wrong Answer,120,False,G3,u198319923,p02548
Wrong Answer,Accepted,831,False,G3,u198319923,p02548
Compile Error,Wrong Answer,37,False,G3,u219646039,p02548
Wrong Answer,Accepted,114888,False,G3,u219646039,p02548
Compile Error,Accepted,8,False,G6,u221285045,p02548
Compile Error,Runtime Error,51,False,G5,u237839412,p02548
Runtime Error,Accepted,206,False,G5,u237839412,p02548
Compile Error,Time Limit Exceeded,101,False,G5,u238353279,p02548
Time Limit Exceeded,Accepted,4102,False,G5,u238353279,p02548
Compile Error,Time Limit Exceeded,33,False,G2,u238923292,p02548
Time Limit Exceeded,Time Limit Exceeded,177,False,G2,u238923292,p02548
Compile Error,Accepted,17,False,G6,u239375815,p02548
Compile Error,Accepted,14,False,G3,u270259192,p02548
Compile Error,Accepted,34,False,G5,u275885859,p02548
Compile Error,Time Limit Exceeded,45,False,G2,u309183848,p02548
Compile Error,Compile Error,289,False,,u355297098,p02548
Compile Error,Compile Error,122,False,,u355297098,p02548
Compile Error,Time Limit Exceeded,243,False,,u355297098,p02548
Time Limit Exceeded,Time Limit Exceeded,175,False,,u355297098,p02548
Time Limit Exceeded,Accepted,53585,False,,u355297098,p02548
Compile Error,Accepted,25,False,G4,u381860804,p02548
Compile Error,Accepted,107,False,G4,u402696200,p02548
Compile Error,Compile Error,317,False,G1,u402861051,p02548
Compile Error,Compile Error,177,False,G1,u402861051,p02548
Compile Error,Accepted,59,False,G6,u430374461,p02548
Compile Error,Time Limit Exceeded,2901,False,G2,u452956397,p02548
Compile Error,Wrong Answer,60,False,G2,u510476678,p02548
Wrong Answer,Wrong Answer,720,False,G2,u510476678,p02548
Wrong Answer,Time Limit Exceeded,115,False,G2,u510476678,p02548
Time Limit Exceeded,Compile Error,522,False,G2,u510476678,p02548
Compile Error,Compile Error,174,False,G2,u510476678,p02548
Compile Error,Time Limit Exceeded,34,False,G2,u510476678,p02548
Time Limit Exceeded,Wrong Answer,1269,False,G2,u510476678,p02548
Compile Error,Time Limit Exceeded,36,False,G2,u520687794,p02548
Compile Error,Accepted,56,False,G6,u557831058,p02548
Compile Error,Accepted,49,False,G3,u579103482,p02548
Compile Error,Accepted,11,False,,u591788634,p02548
Compile Error,Accepted,10,False,G5,u593934357,p02548
Compile Error,Accepted,39,False,G6,u596111103,p02548
Compile Error,Accepted,53,False,G4,u608935724,p02548
Compile Error,Time Limit Exceeded,96,False,G2,u609622606,p02548
Compile Error,Accepted,29,False,G3,u611239490,p02548
Compile Error,Accepted,16,False,G5,u622622652,p02548
Compile Error,Accepted,27,False,G3,u636182200,p02548
Compile Error,Accepted,23,False,G5,u654926761,p02548
Compile Error,Accepted,32,False,G4,u672494157,p02548
Compile Error,Accepted,29,False,G6,u674552629,p02548
Compile Error,Accepted,30,False,G5,u683788379,p02548
Compile Error,Time Limit Exceeded,48,False,G2,u694684410,p02548
Compile Error,Accepted,191,False,G4,u697641414,p02548
Compile Error,Time Limit Exceeded,35,False,G4,u700846375,p02548
Compile Error,Compile Error,35,False,G6,u704011915,p02548
Compile Error,Runtime Error,31,False,G6,u704011915,p02548
Runtime Error,Accepted,1745,False,G6,u704011915,p02548
Compile Error,Accepted,107,False,G4,u719238648,p02548
Compile Error,Wrong Answer,48,False,G1,u721547154,p02548
Compile Error,Compile Error,138,False,G2,u727217644,p02548
Compile Error,Compile Error,301,False,G2,u727217644,p02548
Compile Error,Compile Error,86,False,G2,u727217644,p02548
Compile Error,Wrong Answer,49,False,G2,u727217644,p02548
Compile Error,Accepted,38,False,G6,u729786179,p02548
