from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Compile Error,Time Limit Exceeded,254,False,G4,u003107737,p02549
Time Limit Exceeded,Time Limit Exceeded,136,False,G4,u003107737,p02549
Time Limit Exceeded,Time Limit Exceeded,159,False,G4,u003107737,p02549
Time Limit Exceeded,Compile Error,208,False,G4,u003107737,p02549
Compile Error,Time Limit Exceeded,61,False,G4,u003107737,p02549
Time Limit Exceeded,Time Limit Exceeded,143,False,G4,u003107737,p02549
Time Limit Exceeded,Time Limit Exceeded,377,False,G4,u003107737,p02549
Compile Error,Accepted,39,False,G6,u003873207,p02549
Compile Error,Accepted,131,False,G6,u010725318,p02549
Compile Error,Accepted,19,False,G6,u017271745,p02549
Compile Error,Compile Error,36,False,G5,u017829818,p02549
Compile Error,Compile Error,96,False,G5,u017829818,p02549
Compile Error,Accepted,9,False,G6,u033620890,p02549
Compile Error,Time Limit Exceeded,24,False,G6,u050865477,p02549
Time Limit Exceeded,Compile Error,410,False,G6,u050865477,p02549
Compile Error,Runtime Error,25,False,G6,u050865477,p02549
Runtime Error,Runtime Error,190,False,G6,u050865477,p02549
Runtime Error,Runtime Error,15,False,G6,u050865477,p02549
Runtime Error,Runtime Error,45,False,G6,u050865477,p02549
Runtime Error,Time Limit Exceeded,95,False,G6,u050865477,p02549
Time Limit Exceeded,Time Limit Exceeded,477,False,G6,u050865477,p02549
Time Limit Exceeded,Wrong Answer,943,False,G6,u050865477,p02549
Wrong Answer,Accepted,240,False,G6,u050865477,p02549
Compile Error,Compile Error,80,False,G6,u061892265,p02549
Compile Error,Time Limit Exceeded,47,False,G6,u061892265,p02549
Time Limit Exceeded,Time Limit Exceeded,195,False,G6,u061892265,p02549
Time Limit Exceeded,Time Limit Exceeded,445,False,G6,u061892265,p02549
Time Limit Exceeded,Time Limit Exceeded,575,False,G6,u061892265,p02549
Compile Error,Time Limit Exceeded,80,False,G5,u070241778,p02549
Compile Error,Compile Error,108,False,G6,u108808596,p02549
Compile Error,Runtime Error,64,False,G6,u108808596,p02549
Runtime Error,Accepted,1075,False,G6,u108808596,p02549
Compile Error,Accepted,34,False,G6,u118797367,p02549
Compile Error,Compile Error,187,False,,u129962233,p02549
Compile Error,Accepted,38,False,G6,u138253748,p02549
Compile Error,Runtime Error,34,False,G5,u162893096,p02549
Runtime Error,Time Limit Exceeded,37,False,G5,u162893096,p02549
Time Limit Exceeded,Time Limit Exceeded,63,False,G5,u162893096,p02549
Compile Error,Compile Error,48,False,G5,u166008195,p02549
Compile Error,Accepted,29,False,G6,u174404613,p02549
