from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Compile Error,Accepted,90,False,,u028014484,p02550
Compile Error,Accepted,21,False,G6,u050865477,p02550
Compile Error,Accepted,89,False,G5,u061888329,p02550
Compile Error,Time Limit Exceeded,74,False,G4,u101983458,p02550
Compile Error,Accepted,29,False,G6,u129134470,p02550
Compile Error,Accepted,91,False,G6,u161323909,p02550
Compile Error,Time Limit Exceeded,250,False,G1,u190854053,p02550
Time Limit Exceeded,Time Limit Exceeded,1233,False,G1,u190854053,p02550
Compile Error,Accepted,92,False,G6,u224481909,p02550
Compile Error,Accepted,42,False,G6,u265250376,p02550
Compile Error,Accepted,21,False,G6,u275797573,p02550
Compile Error,Runtime Error,22,False,G6,u288087195,p02550
Runtime Error,Runtime Error,90,False,G6,u288087195,p02550
Runtime Error,Runtime Error,47,False,G6,u288087195,p02550
Runtime Error,Compile Error,383,False,G6,u288087195,p02550
Compile Error,Compile Error,24,False,G6,u288087195,p02550
Compile Error,Compile Error,26,False,G6,u288087195,p02550
Compile Error,Compile Error,20,False,G6,u288087195,p02550
Compile Error,Compile Error,21,False,G6,u288087195,p02550
Compile Error,Runtime Error,30,False,G6,u288087195,p02550
Runtime Error,Runtime Error,214,False,G6,u288087195,p02550
Runtime Error,Runtime Error,53,False,G6,u288087195,p02550
Runtime Error,Runtime Error,352,False,G6,u288087195,p02550
Runtime Error,Runtime Error,66,False,G6,u288087195,p02550
Runtime Error,Wrong Answer,73,False,G6,u288087195,p02550
Wrong Answer,Runtime Error,150,False,G6,u288087195,p02550
Runtime Error,Runtime Error,48,False,G6,u288087195,p02550
Runtime Error,Runtime Error,46,False,G6,u288087195,p02550
Runtime Error,Runtime Error,92,False,G6,u288087195,p02550
Runtime Error,Wrong Answer,106,False,G6,u288087195,p02550
Wrong Answer,Wrong Answer,188,False,G6,u288087195,p02550
Wrong Answer,Compile Error,46,False,G6,u288087195,p02550
Compile Error,Runtime Error,28,False,G6,u288087195,p02550
Runtime Error,Runtime Error,53,False,G6,u288087195,p02550
Runtime Error,Wrong Answer,25,False,G6,u288087195,p02550
Compile Error,Wrong Answer,24,False,G6,u299876072,p02550
Wrong Answer,Accepted,109,False,G6,u299876072,p02550
Compile Error,Accepted,17,False,G5,u337949146,p02550
Compile Error,Runtime Error,29,False,G3,u353401347,p02550
Compile Error,Accepted,28,False,G6,u361173382,p02550
