from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Time Limit Exceeded,Accepted,74,False,G6,u001769145,p02550
Time Limit Exceeded,Wrong Answer,774,False,G6,u005006157,p02550
Wrong Answer,Wrong Answer,143,False,G6,u005006157,p02550
Wrong Answer,Accepted,36,False,G6,u005006157,p02550
Time Limit Exceeded,Time Limit Exceeded,245,False,G5,u009787707,p02550
Time Limit Exceeded,Accepted,45,False,G5,u009787707,p02550
Time Limit Exceeded,Accepted,147668,False,G5,u016334391,p02550
Time Limit Exceeded,Wrong Answer,261,False,G6,u016958027,p02550
Time Limit Exceeded,Wrong Answer,584,False,G5,u024340351,p02550
Wrong Answer,Accepted,925,False,G5,u024340351,p02550
Time Limit Exceeded,Time Limit Exceeded,238,False,G5,u030642039,p02550
Time Limit Exceeded,Time Limit Exceeded,77,False,G1,u039526919,p02550
Time Limit Exceeded,Time Limit Exceeded,107,False,,u043357590,p02550
Time Limit Exceeded,Accepted,116,False,G6,u047554023,p02550
Time Limit Exceeded,Accepted,137,False,G6,u056461154,p02550
Time Limit Exceeded,Time Limit Exceeded,559,False,G6,u066396601,p02550
Time Limit Exceeded,Accepted,296,False,G6,u066396601,p02550
Time Limit Exceeded,Accepted,33,False,G5,u071360860,p02550
Time Limit Exceeded,Time Limit Exceeded,233,False,G5,u071813064,p02550
Time Limit Exceeded,Time Limit Exceeded,139,False,G5,u071813064,p02550
Time Limit Exceeded,Accepted,847,False,G5,u071813064,p02550
Time Limit Exceeded,Time Limit Exceeded,443,False,G5,u083960235,p02550
Time Limit Exceeded,Accepted,57,False,G5,u083960235,p02550
Time Limit Exceeded,Runtime Error,3504,False,,u086450146,p02550
Runtime Error,Runtime Error,42,False,,u086450146,p02550
Runtime Error,Accepted,340,False,,u086450146,p02550
Time Limit Exceeded,Time Limit Exceeded,585,False,G5,u088211391,p02550
Time Limit Exceeded,Accepted,215,False,G5,u088211391,p02550
Time Limit Exceeded,Time Limit Exceeded,55931,False,G6,u091051505,p02550
Time Limit Exceeded,Accepted,38,False,G6,u091051505,p02550
Time Limit Exceeded,Accepted,11064,True,G6,u092576233,p02550
Time Limit Exceeded,Time Limit Exceeded,74,False,G6,u093973314,p02550
Time Limit Exceeded,Time Limit Exceeded,251,False,G6,u093973314,p02550
Time Limit Exceeded,Time Limit Exceeded,135,False,G6,u093973314,p02550
Time Limit Exceeded,Time Limit Exceeded,73,False,G6,u093973314,p02550
Time Limit Exceeded,Time Limit Exceeded,251,False,G6,u093973314,p02550
Time Limit Exceeded,Wrong Answer,80,False,G6,u093973314,p02550
Wrong Answer,Time Limit Exceeded,38,False,G6,u093973314,p02550
Time Limit Exceeded,Wrong Answer,52,False,G6,u093973314,p02550
Wrong Answer,Time Limit Exceeded,332,False,G6,u093973314,p02550
Time Limit Exceeded,Accepted,328,False,G6,u093973314,p02550
Time Limit Exceeded,Wrong Answer,371,False,G6,u102305348,p02550
Time Limit Exceeded,Accepted,605,False,G5,u105608888,p02550
Time Limit Exceeded,Wrong Answer,170,False,G6,u107077660,p02550
Wrong Answer,Accepted,256,False,G6,u107077660,p02550
Time Limit Exceeded,Wrong Answer,252,False,G6,u110383054,p02550
Wrong Answer,Accepted,408,False,G6,u110383054,p02550
Time Limit Exceeded,Time Limit Exceeded,54,False,G6,u112629957,p02550
Time Limit Exceeded,Wrong Answer,670,False,G6,u112629957,p02550
Wrong Answer,Time Limit Exceeded,136,False,G6,u112629957,p02550
Time Limit Exceeded,Time Limit Exceeded,69,False,G6,u112629957,p02550
Time Limit Exceeded,Time Limit Exceeded,19,False,G6,u112629957,p02550
Time Limit Exceeded,Accepted,1682,False,G6,u112629957,p02550
Time Limit Exceeded,Wrong Answer,926,False,G4,u114273314,p02550
Time Limit Exceeded,Accepted,155838,False,G5,u118340517,p02550
Time Limit Exceeded,Time Limit Exceeded,750,False,G6,u123756661,p02550
Time Limit Exceeded,Time Limit Exceeded,217,False,G6,u123756661,p02550
Time Limit Exceeded,Wrong Answer,295,False,G6,u123756661,p02550
Wrong Answer,Accepted,189,False,G6,u123756661,p02550
Time Limit Exceeded,Time Limit Exceeded,92,False,G5,u129019798,p02550
Time Limit Exceeded,Runtime Error,158,False,G5,u129019798,p02550
Runtime Error,Time Limit Exceeded,762,False,G5,u129019798,p02550
Time Limit Exceeded,Time Limit Exceeded,1056,False,G5,u129019798,p02550
Time Limit Exceeded,Time Limit Exceeded,227,False,G5,u129019798,p02550
Time Limit Exceeded,Wrong Answer,74695,False,G5,u132551724,p02550
Time Limit Exceeded,Wrong Answer,890,False,G5,u133240057,p02550
Wrong Answer,Wrong Answer,191,False,G5,u133240057,p02550
Time Limit Exceeded,Wrong Answer,457,False,G5,u137226361,p02550
Time Limit Exceeded,Accepted,25,False,G5,u145145077,p02550
Time Limit Exceeded,Accepted,315,False,G5,u145950990,p02550
Time Limit Exceeded,Time Limit Exceeded,100,False,G5,u149757670,p02550
Time Limit Exceeded,Wrong Answer,113509,False,G5,u149757670,p02550
Wrong Answer,Accepted,145,False,G5,u149757670,p02550
Time Limit Exceeded,Time Limit Exceeded,250,False,G5,u149991748,p02550
Time Limit Exceeded,Accepted,439,False,G5,u149991748,p02550
Time Limit Exceeded,Time Limit Exceeded,460,False,G6,u159723084,p02550
Time Limit Exceeded,Time Limit Exceeded,341,False,G6,u159723084,p02550
Time Limit Exceeded,Accepted,406,False,G6,u159723084,p02550
Time Limit Exceeded,Accepted,185,False,G6,u164727245,p02550
Time Limit Exceeded,Wrong Answer,324,False,G5,u172546930,p02550
Wrong Answer,Accepted,3619,False,G5,u172546930,p02550
Time Limit Exceeded,Time Limit Exceeded,45,False,G6,u190018920,p02550
Time Limit Exceeded,Time Limit Exceeded,131,False,G6,u190018920,p02550
Time Limit Exceeded,Runtime Error,248,False,G6,u190018920,p02550
Runtime Error,Runtime Error,253,False,G6,u190018920,p02550
Runtime Error,Accepted,24,False,G6,u190018920,p02550
Time Limit Exceeded,Accepted,216,False,G6,u191114518,p02550
Time Limit Exceeded,Accepted,133,False,G6,u213110772,p02550
Time Limit Exceeded,Time Limit Exceeded,321,False,G4,u218838821,p02550
Time Limit Exceeded,Time Limit Exceeded,174,False,G4,u218838821,p02550
Time Limit Exceeded,Time Limit Exceeded,334,False,G5,u224085427,p02550
Time Limit Exceeded,Time Limit Exceeded,143,False,G5,u224085427,p02550
Time Limit Exceeded,Time Limit Exceeded,146,False,G5,u224085427,p02550
Time Limit Exceeded,Time Limit Exceeded,59,False,G5,u224085427,p02550
Time Limit Exceeded,Time Limit Exceeded,308,False,G5,u224085427,p02550
Time Limit Exceeded,Time Limit Exceeded,617,False,G5,u224085427,p02550
Time Limit Exceeded,Accepted,276,False,G5,u225660136,p02550
Time Limit Exceeded,Time Limit Exceeded,620,False,G6,u229156891,p02550
Time Limit Exceeded,Time Limit Exceeded,52,False,G5,u231095456,p02550
Time Limit Exceeded,Accepted,65,False,G5,u231095456,p02550
Time Limit Exceeded,Time Limit Exceeded,54820,False,G3,u239228953,p02550
Time Limit Exceeded,Time Limit Exceeded,177,False,G4,u240256924,p02550
Time Limit Exceeded,Runtime Error,213,False,G3,u273914730,p02550
Runtime Error,Wrong Answer,45,False,G3,u273914730,p02550
Wrong Answer,Runtime Error,1159,False,G3,u273914730,p02550
Time Limit Exceeded,Accepted,354,False,G5,u286422818,p02550
Time Limit Exceeded,Time Limit Exceeded,203,False,G5,u288435405,p02550
Time Limit Exceeded,Runtime Error,1563,False,G5,u288435405,p02550
Runtime Error,Wrong Answer,133,False,G5,u288435405,p02550
Wrong Answer,Time Limit Exceeded,396,False,G5,u288435405,p02550
Time Limit Exceeded,Time Limit Exceeded,421,False,G5,u288435405,p02550
Time Limit Exceeded,Time Limit Exceeded,390,False,G5,u288435405,p02550
Time Limit Exceeded,Accepted,146,False,G5,u288435405,p02550
Time Limit Exceeded,Accepted,1184,False,G6,u305384049,p02550
Time Limit Exceeded,Wrong Answer,80476,False,G5,u308077140,p02550
Wrong Answer,Runtime Error,281,False,G5,u308077140,p02550
Runtime Error,Accepted,107,False,G5,u308077140,p02550
Time Limit Exceeded,Time Limit Exceeded,104,False,G3,u311803789,p02550
Time Limit Exceeded,Wrong Answer,821,False,G3,u316959862,p02550
Wrong Answer,Wrong Answer,13650,False,G3,u316959862,p02550
Wrong Answer,Wrong Answer,87,False,G3,u316959862,p02550
Time Limit Exceeded,Time Limit Exceeded,520,False,G5,u322266296,p02550
Time Limit Exceeded,Accepted,44805,False,G5,u322266296,p02550
Time Limit Exceeded,Time Limit Exceeded,101,False,G6,u326609687,p02550
Time Limit Exceeded,Wrong Answer,3492,False,G6,u326609687,p02550
Wrong Answer,Accepted,322,False,G6,u326609687,p02550
Time Limit Exceeded,Accepted,683,False,G5,u331906013,p02550
Time Limit Exceeded,Accepted,184,False,G6,u334712262,p02550
Time Limit Exceeded,Accepted,1539,False,G5,u342813305,p02550
Time Limit Exceeded,Accepted,486,False,G5,u344030307,p02550
Time Limit Exceeded,Time Limit Exceeded,208,False,G6,u346215801,p02550
Time Limit Exceeded,Time Limit Exceeded,616,False,G6,u346215801,p02550
Time Limit Exceeded,Time Limit Exceeded,545,False,G6,u346215801,p02550
Time Limit Exceeded,Time Limit Exceeded,784,False,G6,u346215801,p02550
Time Limit Exceeded,Time Limit Exceeded,147,False,G6,u346215801,p02550
Time Limit Exceeded,Wrong Answer,187,False,G6,u346215801,p02550
Time Limit Exceeded,Time Limit Exceeded,356,False,G5,u348293370,p02550
Time Limit Exceeded,Time Limit Exceeded,371,False,G5,u348293370,p02550
Time Limit Exceeded,Accepted,618,False,G5,u348293370,p02550
Time Limit Exceeded,Compile Error,13849,False,G6,u350072791,p02550
Compile Error,Accepted,20,False,G6,u350072791,p02550
Time Limit Exceeded,Time Limit Exceeded,720,False,G3,u351207073,p02550
Time Limit Exceeded,Time Limit Exceeded,125,False,G3,u351207073,p02550
