from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Runtime Error,Accepted,1491,False,G6,u033620890,p02551
Runtime Error,Accepted,50,False,G6,u049095189,p02551
Runtime Error,Runtime Error,43,False,G6,u052649041,p02551
Runtime Error,Runtime Error,3002,False,G6,u052649041,p02551
Runtime Error,Runtime Error,131,False,G6,u052649041,p02551
Runtime Error,Runtime Error,11473,False,G6,u052649041,p02551
Runtime Error,Accepted,167,False,G6,u052649041,p02551
Runtime Error,Runtime Error,315,False,G2,u075859295,p02551
Runtime Error,Runtime Error,233,False,G2,u075859295,p02551
Runtime Error,Runtime Error,55446,False,G2,u075859295,p02551
Runtime Error,Runtime Error,126,False,G2,u075859295,p02551
Runtime Error,Accepted,90,False,G6,u136342563,p02551
Runtime Error,Accepted,248,False,G6,u143509139,p02551
Runtime Error,Accepted,784,False,G6,u179970156,p02551
Runtime Error,Runtime Error,184,False,G6,u191874006,p02551
Runtime Error,Accepted,542,False,G6,u191874006,p02551
Runtime Error,Accepted,37,False,G6,u291353306,p02551
Runtime Error,Time Limit Exceeded,48,False,G6,u326609687,p02551
Time Limit Exceeded,Time Limit Exceeded,158,False,G6,u326609687,p02551
Time Limit Exceeded,Runtime Error,5894,False,G6,u326609687,p02551
Runtime Error,Runtime Error,51,False,G6,u326609687,p02551
Runtime Error,Wrong Answer,68,False,G6,u326609687,p02551
Wrong Answer,Accepted,2564,False,G6,u326609687,p02551
Runtime Error,Wrong Answer,67,False,G6,u339419997,p02551
Wrong Answer,Wrong Answer,7279,False,G6,u339419997,p02551
Wrong Answer,Accepted,50,False,G6,u339419997,p02551
Runtime Error,Accepted,80,False,G6,u429153939,p02551
Runtime Error,Accepted,81153,False,G6,u433390191,p02551
Runtime Error,Runtime Error,260,False,G6,u482789362,p02551
Runtime Error,Accepted,641,False,G6,u482789362,p02551
Runtime Error,Wrong Answer,43356,False,G6,u488526012,p02551
Runtime Error,Time Limit Exceeded,803,False,G6,u562016607,p02551
Time Limit Exceeded,Runtime Error,42,False,G6,u562016607,p02551
Runtime Error,Wrong Answer,82,False,G6,u569511944,p02551
Wrong Answer,Wrong Answer,17185,False,G6,u569511944,p02551
Wrong Answer,Wrong Answer,127,False,G6,u569511944,p02551
Wrong Answer,Wrong Answer,307,False,G6,u569511944,p02551
Runtime Error,Wrong Answer,65015,False,G6,u622941671,p02551
Wrong Answer,Accepted,15007,False,G6,u622941671,p02551
Runtime Error,Runtime Error,378,False,G6,u627600101,p02551
Runtime Error,Runtime Error,150,False,G6,u627600101,p02551
Runtime Error,Accepted,554,False,G6,u627600101,p02551
Runtime Error,Time Limit Exceeded,109,False,G5,u630177233,p02551
Runtime Error,Runtime Error,78,False,G2,u643223021,p02551
Runtime Error,Accepted,76377,False,G6,u678167152,p02551
Runtime Error,Accepted,44,False,G6,u681557252,p02551
Runtime Error,Runtime Error,513,False,G6,u705918648,p02551
Runtime Error,Accepted,165,False,G6,u705918648,p02551
Runtime Error,Runtime Error,54,False,G6,u745116225,p02551
Runtime Error,Accepted,746,False,G6,u745116225,p02551
Runtime Error,Accepted,1435,False,G6,u771276542,p02551
Runtime Error,Runtime Error,69,False,G6,u809748068,p02551
Runtime Error,Runtime Error,106,False,G6,u809967037,p02551
Runtime Error,Runtime Error,29,False,G6,u809967037,p02551
Runtime Error,Wrong Answer,362,False,G6,u809967037,p02551
Wrong Answer,Accepted,37816,False,G6,u809967037,p02551
Runtime Error,Accepted,135,False,G6,u817760251,p02551
Runtime Error,Accepted,113,False,G6,u821802586,p02551
Runtime Error,Runtime Error,142,False,G3,u889405092,p02551
Runtime Error,Runtime Error,86,False,G3,u889405092,p02551
Runtime Error,Accepted,790,False,G6,u965602776,p02551
Runtime Error,Runtime Error,120,False,G6,u983853152,p02551
Runtime Error,Accepted,51,False,G6,u983853152,p02551
Runtime Error,Wrong Answer,244,False,G6,u002627851,p02557
Wrong Answer,Wrong Answer,2321,False,G6,u002627851,p02557
Runtime Error,Wrong Answer,547,False,G6,u002638660,p02557
Wrong Answer,Wrong Answer,154,False,G6,u002638660,p02557
Runtime Error,Accepted,432,False,G6,u004411048,p02557
Runtime Error,Runtime Error,655,False,G6,u016531517,p02557
Runtime Error,Accepted,545,False,G6,u016531517,p02557
Runtime Error,Runtime Error,682,False,G6,u022979415,p02557
Runtime Error,Wrong Answer,195,False,G6,u022979415,p02557
Wrong Answer,Wrong Answer,517,False,G6,u022979415,p02557
Wrong Answer,Accepted,282,False,G6,u022979415,p02557
Runtime Error,Runtime Error,144,False,G6,u024809932,p02557
Runtime Error,Accepted,456,False,G6,u024809932,p02557
Runtime Error,Wrong Answer,93,False,G6,u026788530,p02557
Wrong Answer,Wrong Answer,404,False,G6,u026788530,p02557
Wrong Answer,Wrong Answer,95946,False,G6,u026788530,p02557
Wrong Answer,Accepted,487,False,G6,u026788530,p02557
Runtime Error,Runtime Error,287,False,G6,u030090262,p02557
Runtime Error,Wrong Answer,1106,False,G6,u030090262,p02557
Wrong Answer,Wrong Answer,4339,False,G6,u030090262,p02557
Wrong Answer,Wrong Answer,1199,False,G6,u030090262,p02557
Wrong Answer,Accepted,1282,False,G6,u030090262,p02557
Runtime Error,Wrong Answer,218,False,G6,u034128150,p02557
Wrong Answer,Time Limit Exceeded,1884,False,G6,u034128150,p02557
Time Limit Exceeded,Wrong Answer,43152,False,G6,u034128150,p02557
Wrong Answer,Accepted,50,False,G6,u034128150,p02557
Runtime Error,Wrong Answer,137,False,G5,u037156014,p02557
Runtime Error,Accepted,1774,False,G6,u040490988,p02557
Runtime Error,Runtime Error,110,False,G6,u041337139,p02557
Runtime Error,Runtime Error,58,False,G6,u041337139,p02557
Runtime Error,Runtime Error,511,False,G6,u041337139,p02557
Runtime Error,Wrong Answer,50,False,G6,u041337139,p02557
Wrong Answer,Runtime Error,112,False,G6,u041337139,p02557
Runtime Error,Runtime Error,93,False,G6,u041337139,p02557
Runtime Error,Compile Error,35,False,G6,u041337139,p02557
Compile Error,Wrong Answer,31,False,G6,u041337139,p02557
