from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Time Limit Exceeded,Time Limit Exceeded,307,False,G6,u006576567,p02551
Time Limit Exceeded,Time Limit Exceeded,459,False,G6,u006883624,p02551
Time Limit Exceeded,Time Limit Exceeded,475,False,G6,u006883624,p02551
Time Limit Exceeded,Time Limit Exceeded,182,False,G6,u006883624,p02551
Time Limit Exceeded,Time Limit Exceeded,115,False,G6,u006883624,p02551
Time Limit Exceeded,Accepted,73191,False,G6,u006883624,p02551
Time Limit Exceeded,Accepted,3863,False,G6,u023229441,p02551
Time Limit Exceeded,Time Limit Exceeded,176,False,G3,u025340294,p02551
Time Limit Exceeded,Accepted,435,False,G6,u035603241,p02551
Time Limit Exceeded,Accepted,37,False,G6,u044220565,p02551
Time Limit Exceeded,Time Limit Exceeded,178,False,G6,u051928503,p02551
Time Limit Exceeded,Accepted,237,False,G6,u051928503,p02551
Time Limit Exceeded,Accepted,3107,False,G6,u054514819,p02551
Time Limit Exceeded,Runtime Error,130,False,G5,u074220993,p02551
Runtime Error,Time Limit Exceeded,59,False,G5,u074220993,p02551
Time Limit Exceeded,Wrong Answer,209,False,G6,u075003737,p02551
Wrong Answer,Wrong Answer,1028,False,G6,u075003737,p02551
Wrong Answer,Accepted,171,False,G6,u075003737,p02551
Time Limit Exceeded,Wrong Answer,3047,False,G6,u087295942,p02551
Wrong Answer,Wrong Answer,646,False,G6,u087295942,p02551
Wrong Answer,Wrong Answer,3099,False,G6,u087295942,p02551
Wrong Answer,Accepted,1598,False,G6,u087295942,p02551
Time Limit Exceeded,Time Limit Exceeded,1007,False,G6,u087950716,p02551
Time Limit Exceeded,Accepted,578,False,G6,u087950716,p02551
Time Limit Exceeded,Time Limit Exceeded,1583,False,G6,u101008354,p02551
Time Limit Exceeded,Time Limit Exceeded,1380,False,G6,u101008354,p02551
Time Limit Exceeded,Time Limit Exceeded,664,False,G6,u101008354,p02551
Time Limit Exceeded,Accepted,800,False,G6,u101008354,p02551
Time Limit Exceeded,Time Limit Exceeded,1018,False,G5,u106829121,p02551
Time Limit Exceeded,Accepted,2345,False,G6,u117541450,p02551
Time Limit Exceeded,Time Limit Exceeded,49,False,G6,u125545880,p02551
Time Limit Exceeded,Time Limit Exceeded,322,False,G6,u135346354,p02551
Time Limit Exceeded,Accepted,1730,False,G6,u135626132,p02551
Time Limit Exceeded,Wrong Answer,417,False,G6,u135957438,p02551
Wrong Answer,Accepted,605,False,G6,u135957438,p02551
Time Limit Exceeded,Accepted,146,False,G6,u161323909,p02551
Time Limit Exceeded,Accepted,520,False,G6,u170199544,p02551
Time Limit Exceeded,Time Limit Exceeded,44200,False,G6,u202560873,p02551
Time Limit Exceeded,Time Limit Exceeded,3613,False,G6,u202560873,p02551
Time Limit Exceeded,Accepted,36,False,G6,u202560873,p02551
Time Limit Exceeded,Wrong Answer,736,False,G6,u216365880,p02551
Wrong Answer,Wrong Answer,42,False,G6,u216365880,p02551
Wrong Answer,Accepted,714,False,G6,u216365880,p02551
Time Limit Exceeded,Accepted,217,False,G6,u242679311,p02551
Time Limit Exceeded,Wrong Answer,303,False,G6,u249218427,p02551
Wrong Answer,Time Limit Exceeded,839,False,G6,u249218427,p02551
Time Limit Exceeded,Time Limit Exceeded,338,False,G6,u249218427,p02551
Time Limit Exceeded,Accepted,601,False,G6,u249218427,p02551
Time Limit Exceeded,Accepted,560,False,G6,u274811210,p02551
