from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Runtime Error,Runtime Error,79,False,G5,u002663801,p02550
Runtime Error,Runtime Error,106,False,G5,u002663801,p02550
Runtime Error,Runtime Error,160,False,G5,u002663801,p02550
Runtime Error,Runtime Error,200,False,G5,u002663801,p02550
Runtime Error,Runtime Error,91,False,G5,u002663801,p02550
Runtime Error,Accepted,239,False,G5,u002663801,p02550
Runtime Error,Wrong Answer,84,False,G6,u003026289,p02550
Wrong Answer,Accepted,96,False,G6,u003026289,p02550
Runtime Error,Wrong Answer,607,False,G6,u003721865,p02550
Wrong Answer,Accepted,585,False,G6,u003721865,p02550
Runtime Error,Runtime Error,437,False,G6,u004063473,p02550
Runtime Error,Runtime Error,828,False,G6,u004063473,p02550
Runtime Error,Runtime Error,219,False,G6,u004063473,p02550
Runtime Error,Time Limit Exceeded,91,False,G6,u004063473,p02550
Time Limit Exceeded,Compile Error,430,False,G6,u004063473,p02550
Compile Error,Wrong Answer,15,False,G6,u004063473,p02550
Wrong Answer,Runtime Error,124,False,G6,u004063473,p02550
Runtime Error,Runtime Error,25,False,G6,u004063473,p02550
Runtime Error,Accepted,6712,False,G6,u004063473,p02550
Runtime Error,Runtime Error,215,False,G6,u004279520,p02550
Runtime Error,Time Limit Exceeded,149,False,G6,u004279520,p02550
Time Limit Exceeded,Accepted,91,False,G6,u004279520,p02550
Runtime Error,Runtime Error,115,False,G6,u004707990,p02550
Runtime Error,Accepted,4013,False,G6,u004707990,p02550
Runtime Error,Accepted,378,False,G6,u006883624,p02550
Runtime Error,Accepted,23,False,G5,u008365786,p02550
Runtime Error,Accepted,147,False,G6,u009414205,p02550
Runtime Error,Accepted,76,False,G6,u011986906,p02550
Runtime Error,Runtime Error,110,False,G6,u013345230,p02550
Runtime Error,Accepted,20783,False,G6,u013345230,p02550
Runtime Error,Wrong Answer,296,False,G6,u014272610,p02550
Wrong Answer,Time Limit Exceeded,46,False,G6,u014272610,p02550
Time Limit Exceeded,Accepted,120,False,G6,u014272610,p02550
Runtime Error,Runtime Error,118,False,G4,u015767468,p02550
Runtime Error,Time Limit Exceeded,1606,False,G4,u015767468,p02550
Runtime Error,Wrong Answer,7819,False,G6,u021358975,p02550
Wrong Answer,Accepted,1872,False,G6,u021358975,p02550
Runtime Error,Runtime Error,147,False,G5,u021814034,p02550
Runtime Error,Runtime Error,421,False,G5,u021814034,p02550
Runtime Error,Runtime Error,66,False,G5,u021814034,p02550
Runtime Error,Time Limit Exceeded,56,False,G5,u021814034,p02550
Time Limit Exceeded,Time Limit Exceeded,653,False,G5,u021814034,p02550
Time Limit Exceeded,Runtime Error,158,False,G5,u021814034,p02550
Runtime Error,Time Limit Exceeded,123,False,G5,u021814034,p02550
Runtime Error,Runtime Error,330,False,G6,u023958502,p02550
Runtime Error,Runtime Error,169,False,G6,u023958502,p02550
Runtime Error,Accepted,834,False,G6,u023958502,p02550
Runtime Error,Accepted,153,False,G6,u025464133,p02550
Runtime Error,Accepted,72,False,G6,u031240034,p02550
Runtime Error,Wrong Answer,259,False,G6,u035448833,p02550
Wrong Answer,Accepted,246,False,G6,u035448833,p02550
Runtime Error,Accepted,220,False,G6,u035603241,p02550
Runtime Error,Runtime Error,54,False,G5,u037563046,p02550
Runtime Error,Runtime Error,126,False,G5,u037563046,p02550
Runtime Error,Accepted,128,False,G6,u042365947,p02550
Runtime Error,Runtime Error,279,False,G6,u045289115,p02550
Runtime Error,Runtime Error,15561,False,G6,u045289115,p02550
Runtime Error,Accepted,26,False,G6,u045289115,p02550
Runtime Error,Accepted,198,False,G6,u045289115,p02550
Runtime Error,Time Limit Exceeded,118,False,G3,u053203980,p02550
Time Limit Exceeded,Runtime Error,68,False,G3,u053203980,p02550
Runtime Error,Runtime Error,71,False,G6,u054514819,p02550
Runtime Error,Runtime Error,264,False,G6,u054514819,p02550
Runtime Error,Runtime Error,102,False,G6,u054514819,p02550
Runtime Error,Runtime Error,198,False,G6,u054514819,p02550
Runtime Error,Runtime Error,98,False,G6,u054514819,p02550
Runtime Error,Accepted,65,False,G6,u054514819,p02550
Runtime Error,Accepted,41,False,G6,u054514819,p02550
Runtime Error,Wrong Answer,1125,False,G5,u054782559,p02550
Wrong Answer,Wrong Answer,1646,False,G5,u054782559,p02550
Wrong Answer,Wrong Answer,14,False,G5,u054782559,p02550
Wrong Answer,Wrong Answer,47,False,G5,u054782559,p02550
Wrong Answer,Wrong Answer,331,False,G5,u054782559,p02550
Runtime Error,Runtime Error,421,False,G5,u056358163,p02550
Runtime Error,Runtime Error,648,False,G5,u056358163,p02550
Runtime Error,Wrong Answer,446,False,G5,u056358163,p02550
Wrong Answer,Runtime Error,147,False,G5,u056358163,p02550
Runtime Error,Runtime Error,63,False,G5,u056358163,p02550
Runtime Error,Runtime Error,40,False,G5,u056358163,p02550
Runtime Error,Accepted,317,False,G5,u056358163,p02550
Runtime Error,Runtime Error,555,False,G6,u057866967,p02550
Runtime Error,Runtime Error,87,False,G6,u057866967,p02550
Runtime Error,Runtime Error,232,False,G6,u057866967,p02550
Runtime Error,Wrong Answer,94,False,G6,u057866967,p02550
