from_status,to_status,delta_time,prev_invalid,group,user_id,problem_id
Compile Error,Accepted,97,False,G6,u019685451,p02551
Compile Error,Accepted,1499,False,G6,u050865477,p02551
Compile Error,Compile Error,10,False,G6,u079330987,p02551
Compile Error,Accepted,156,False,G6,u079330987,p02551
Compile Error,Accepted,593,False,G6,u121922047,p02551
Compile Error,Compile Error,292,False,G6,u149999193,p02551
Compile Error,Accepted,266,False,G6,u149999193,p02551
Compile Error,Wrong Answer,26,False,G6,u183617499,p02551
Wrong Answer,Accepted,543,False,G6,u183617499,p02551
Compile Error,Compile Error,75,False,G6,u224481909,p02551
Compile Error,Compile Error,96,False,G6,u224481909,p02551
Compile Error,Accepted,48,False,G6,u224481909,p02551
Compile Error,Compile Error,138,False,G6,u242390649,p02551
Compile Error,Accepted,50,False,G6,u242390649,p02551
Compile Error,Wrong Answer,15,False,G6,u265065462,p02551
Wrong Answer,Accepted,61,False,G6,u265065462,p02551
Compile Error,Accepted,26,False,G6,u268793453,p02551
Compile Error,Accepted,36,False,G6,u292617411,p02551
Compile Error,Accepted,33,False,G6,u310678820,p02551
Compile Error,Wrong Answer,71,False,G6,u339233484,p02551
Wrong Answer,Wrong Answer,431,False,G6,u339233484,p02551
Wrong Answer,Accepted,450,False,G6,u339233484,p02551
Compile Error,Accepted,27,False,G6,u399527088,p02551
Compile Error,Runtime Error,12,False,G6,u425758699,p02551
Runtime Error,Accepted,10439,False,G6,u425758699,p02551
Compile Error,Wrong Answer,61,False,G5,u453366189,p02551
Compile Error,Wrong Answer,731,False,G6,u462437857,p02551
Wrong Answer,Wrong Answer,227,False,G6,u462437857,p02551
Wrong Answer,Accepted,14,False,G6,u462437857,p02551
Compile Error,Compile Error,114,False,G6,u495203326,p02551
Compile Error,Accepted,212,False,G6,u495203326,p02551
Compile Error,Accepted,47,False,G6,u551351897,p02551
Compile Error,Runtime Error,13,False,G6,u564182781,p02551
Runtime Error,Runtime Error,456,False,G6,u564182781,p02551
Runtime Error,Runtime Error,155,False,G6,u564182781,p02551
Runtime Error,Runtime Error,57,False,G6,u564182781,p02551
Runtime Error,Compile Error,55,False,G6,u564182781,p02551
Compile Error,Runtime Error,17,False,G6,u564182781,p02551
Runtime Error,Runtime Error,75,False,G6,u564182781,p02551
Runtime Error,Runtime Error,74,False,G6,u564182781,p02551
Runtime Error,Runtime Error,701,False,G6,u564182781,p02551
Runtime Error,Runtime Error,68,False,G6,u564182781,p02551
Runtime Error,Runtime Error,136,False,G6,u564182781,p02551
Runtime Error,Accepted,84,False,G6,u564182781,p02551
Compile Error,Accepted,31,False,G6,u614307919,p02551
Compile Error,Accepted,26,False,G6,u688527214,p02551
Compile Error,Compile Error,20,False,G6,u702582248,p02551
Compile Error,Wrong Answer,24,False,G6,u702582248,p02551
Compile Error,Wrong Answer,41,False,G6,u743900647,p02551
Wrong Answer,Compile Error,302,False,G6,u743900647,p02551
Compile Error,Accepted,13,False,G6,u743900647,p02551
Compile Error,Wrong Answer,25,False,G6,u755121033,p02551
