group,RJ_pattern,total_users,solved_users,resolution_rate
G3,Compile Error,1233,969,0.786
G3,Compile Error+Runtime Error,314,165,0.525
G3,Compile Error+Runtime Error+Time Limit Exceeded,51,32,0.627
G3,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,120,76,0.633
G3,Compile Error+Runtime Error+Wrong Answer,443,296,0.668
G3,Compile Error+Time Limit Exceeded,261,157,0.602
G3,Compile Error+Time Limit Exceeded+Wrong Answer,396,258,0.652
G3,Compile Error+Wrong Answer,2197,1485,0.676
G3,Runtime Error,3856,2284,0.592
G3,Runtime Error+Time Limit Exceeded,830,451,0.543
G3,Runtime Error+Time Limit Exceeded+Wrong Answer,808,486,0.601
G3,Runtime Error+Wrong Answer,3220,2052,0.637
G3,Time Limit Exceeded,6006,3256,0.542
G3,Time Limit Exceeded+Wrong Answer,3169,1938,0.612
G3,Wrong Answer,23207,14605,0.629
G3,TOTAL,46111,28510,0.618
G4,Compile Error,2987,2673,0.895
G4,Compile Error+Runtime Error,522,373,0.715
G4,Compile Error+Runtime Error+Time Limit Exceeded,125,80,0.640
G4,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,225,163,0.724
G4,Compile Error+Runtime Error+Wrong Answer,783,612,0.782
G4,Compile Error+Time Limit Exceeded,538,389,0.723
G4,Compile Error+Time Limit Exceeded+Wrong Answer,770,581,0.755
G4,Compile Error+Wrong Answer,4504,3556,0.790
G4,Runtime Error,8434,6398,0.759
G4,Runtime Error+Time Limit Exceeded,1898,1352,0.712
G4,Runtime Error+Time Limit Exceeded+Wrong Answer,1787,1300,0.727
G4,Runtime Error+Wrong Answer,7424,5643,0.760
G4,Time Limit Exceeded,13999,10495,0.750
G4,Time Limit Exceeded+Wrong Answer,7495,5763,0.769
G4,Wrong Answer,63451,50052,0.789
G4,TOTAL,114942,89430,0.778
G5,Compile Error,2784,2663,0.957
G5,Compile Error+Runtime Error,385,332,0.862
G5,Compile Error+Runtime Error+Time Limit Exceeded,82,63,0.768
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,161,134,0.832
G5,Compile Error+Runtime Error+Wrong Answer,588,518,0.881
G5,Compile Error+Time Limit Exceeded,359,317,0.883
G5,Compile Error+Time Limit Exceeded+Wrong Answer,538,462,0.859
G5,Compile Error+Wrong Answer,3938,3450,0.876
G5,Runtime Error,8123,7235,0.891
G5,Runtime Error+Time Limit Exceeded,1505,1292,0.858
G5,Runtime Error+Time Limit Exceeded+Wrong Answer,1580,1385,0.877
G5,Runtime Error+Wrong Answer,7374,6406,0.869
G5,Time Limit Exceeded,11732,10200,0.869
G5,Time Limit Exceeded+Wrong Answer,6015,5267,0.876
G5,Wrong Answer,68750,60956,0.887
G5,TOTAL,113914,100680,0.884
G6,Compile Error,4279,4167,0.974
G6,Compile Error+Runtime Error,418,380,0.909
G6,Compile Error+Runtime Error+Time Limit Exceeded,71,68,0.958
G6,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,136,123,0.904
G6,Compile Error+Runtime Error+Wrong Answer,634,593,0.935
G6,Compile Error+Time Limit Exceeded,284,268,0.944
G6,Compile Error+Time Limit Exceeded+Wrong Answer,482,441,0.915
G6,Compile Error+Wrong Answer,4412,4150,0.941
G6,Runtime Error,8277,7915,0.956
G6,Runtime Error+Time Limit Exceeded,1031,964,0.935
G6,Runtime Error+Time Limit Exceeded+Wrong Answer,977,912,0.933
G6,Runtime Error+Wrong Answer,6070,5716,0.942
G6,Time Limit Exceeded,8264,7766,0.940
G6,Time Limit Exceeded+Wrong Answer,4140,3881,0.937
G6,Wrong Answer,78588,74892,0.953
G6,TOTAL,118063,112236,0.951
