group,RJ_pattern,resolution_time_sec
G5,Compile Error,89
G5,Compile Error,17
G5,Compile Error,110
G5,Compile Error,64
G5,Compile Error,475
G5,Compile Error,75
G5,Compile Error,17907
G5,Compile Error,140
G5,Compile Error,18
G5,Compile Error,51
G5,Compile Error,15
G5,Compile Error,411
G5,Compile Error,58
G5,Compile Error,596
G5,Compile Error,200
G5,Compile Error,111
G5,Compile Error,36
G5,Compile Error,197
G5,Compile Error,62
G5,Compile Error,48
G5,Compile Error,54
G5,Compile Error,50
G5,Compile Error,978
G5,Compile Error,127
G5,Compile Error,2076
G5,Compile Error,92
G5,Compile Error,180
G5,Compile Error,161
G5,Compile Error,16
G5,Compile Error,123
G5,Compile Error,68
G5,Compile Error,42
G5,Compile Error,153
G5,Compile Error,60
G5,Compile Error,33
G5,Compile Error,47
G5,Compile Error,62
G5,Compile Error,49
G5,Compile Error,33
G5,Compile Error,397
G5,Compile Error,37
G5,Compile Error,119
G5,Compile Error,10
G5,Compile Error,62
G5,Compile Error,88
G5,Compile Error,194
G5,Compile Error,54
G5,Compile Error,68
G5,Compile Error,28
G5,Compile Error,38
G5,Compile Error,69
G5,Compile Error,66
G5,Compile Error,74
G5,Compile Error,1845
G5,Compile Error,32
G5,Compile Error,62
G5,Compile Error,42
G5,Compile Error,43
G5,Compile Error,58
G5,Compile Error,32
G5,Compile Error,25
G5,Compile Error,128
G5,Compile Error,1077
G5,Compile Error,46
G5,Compile Error,273
G5,Compile Error,80
G5,Compile Error,65
G5,Compile Error,54
G5,Compile Error,276
G5,Compile Error,57
G5,Compile Error,37
G5,Compile Error,36
G5,Compile Error,326
G5,Compile Error,34
G5,Compile Error,41
G5,Compile Error,21
G5,Compile Error,22
G5,Compile Error,41
G5,Compile Error,14
G5,Compile Error,325
G5,Compile Error,84
G5,Compile Error,1527
G5,Compile Error,113
G5,Compile Error,47
G5,Compile Error,24
G5,Compile Error,165
G5,Compile Error,35
G5,Compile Error,343
G5,Compile Error,47
G5,Compile Error,19
G5,Compile Error,857
G5,Compile Error,615
G5,Compile Error,2386
G5,Compile Error,23
G5,Compile Error,30
G5,Compile Error,26
G5,Compile Error,37
G5,Compile Error,2601
G5,Compile Error,38
G5,Compile Error,41667
G5,Compile Error,225
G5,Compile Error,46
G5,Compile Error,653
G5,Compile Error,19
G5,Compile Error,100
G5,Compile Error,20
G5,Compile Error,41
G5,Compile Error,59
G5,Compile Error,59
G5,Compile Error,230
G5,Compile Error,18
G5,Compile Error,39
G5,Compile Error,41
G5,Compile Error,426
G5,Compile Error,46
G5,Compile Error,22
G5,Compile Error,303
G5,Compile Error,23
G5,Compile Error,12
G5,Compile Error,27
G5,Compile Error,53
G5,Compile Error,16
G5,Compile Error,804
G5,Compile Error,68
G5,Compile Error,18
G5,Compile Error,525
G5,Compile Error,46
G5,Compile Error,41
G5,Compile Error,75
G5,Compile Error,867
G5,Compile Error,36
G5,Compile Error,287
G5,Compile Error,49
G5,Compile Error,31
G5,Compile Error,22
G5,Compile Error,41
G5,Compile Error,100
G5,Compile Error,51
G5,Compile Error,65
G5,Compile Error,45
G5,Compile Error,306
G5,Compile Error,28
G5,Compile Error,70
G5,Compile Error,420
G5,Compile Error,148
G5,Compile Error,173
G5,Compile Error,42
G5,Compile Error,44
G5,Compile Error,38
G5,Compile Error,15
G5,Compile Error,84
G5,Compile Error,166
G5,Compile Error,447
G5,Compile Error,18
G5,Compile Error,54
G5,Compile Error,49
G5,Compile Error,50
G5,Compile Error,235
G5,Compile Error,53
G5,Compile Error,1044
G5,Compile Error,250
G5,Compile Error,89
G5,Compile Error,17
G5,Compile Error,46
G5,Compile Error,863
G5,Compile Error,274
G5,Compile Error,106
G5,Compile Error,36
G5,Compile Error,345
G5,Compile Error,252
G5,Compile Error,144
G5,Compile Error,75
G5,Compile Error,422
G5,Compile Error,106
G5,Compile Error,180
G5,Compile Error,1719
G5,Compile Error,100
G5,Compile Error,52
G5,Compile Error,82
G5,Compile Error,47
G5,Compile Error,26
G5,Compile Error,1300
G5,Compile Error,64
G5,Compile Error,80
G5,Compile Error,80
G5,Compile Error,126
G5,Compile Error,9256
G5,Compile Error,93
G5,Compile Error,25
G5,Compile Error,38487
G5,Compile Error,23
G5,Compile Error,64
G5,Compile Error,35
G5,Compile Error,92
G5,Compile Error,13
G5,Compile Error,133
G5,Compile Error,146
G5,Compile Error,38
G5,Compile Error,21
G5,Compile Error,57
G5,Compile Error,50
G5,Compile Error,69
G5,Compile Error,137
G5,Compile Error,1528
G5,Compile Error,50
G5,Compile Error,69
G5,Compile Error,55
G5,Compile Error,62
G5,Compile Error,406
G5,Compile Error,1178
G5,Compile Error,181
G5,Compile Error,177
G5,Compile Error,138
G5,Compile Error,75
G5,Compile Error,337
G5,Compile Error,63
G5,Compile Error,31
G5,Compile Error,37
G5,Compile Error,45
G5,Compile Error,134
G5,Compile Error,54
G5,Compile Error,25
G5,Compile Error,29
G5,Compile Error,435
G5,Compile Error,733
G5,Compile Error,393
G5,Compile Error,61
G5,Compile Error,682
G5,Compile Error,22
G5,Compile Error,109
G5,Compile Error,1032
G5,Compile Error,33
G5,Compile Error,118
G5,Compile Error,14
G5,Compile Error,98
G5,Compile Error,33
G5,Compile Error,1013
G5,Compile Error,14
G5,Compile Error,55
G5,Compile Error,33
G5,Compile Error,84
G5,Compile Error,71
G5,Compile Error,664
G5,Compile Error,84
G5,Compile Error,44
G5,Compile Error,30
G5,Compile Error,129
G5,Compile Error,1249
G5,Compile Error,32
G5,Compile Error,144
G5,Compile Error,1139
G5,Compile Error,62
G5,Compile Error,67
G5,Compile Error+Runtime Error,411
G5,Compile Error+Runtime Error,1067
G5,Compile Error+Runtime Error,78
G5,Compile Error+Runtime Error,4189
G5,Compile Error+Runtime Error,10344
G5,Compile Error+Runtime Error,2259
G5,Compile Error+Runtime Error,11810
G5,Compile Error+Runtime Error,22235
G5,Compile Error+Runtime Error,605
G5,Compile Error+Runtime Error,671
G5,Compile Error+Runtime Error,829
G5,Compile Error+Runtime Error,399
G5,Compile Error+Runtime Error,1217
G5,Compile Error+Runtime Error,223
G5,Compile Error+Runtime Error,37977
G5,Compile Error+Runtime Error,600
G5,Compile Error+Runtime Error,4873
G5,Compile Error+Runtime Error,356
G5,Compile Error+Runtime Error,604
G5,Compile Error+Runtime Error,21345
G5,Compile Error+Runtime Error,11739
G5,Compile Error+Runtime Error,1226
G5,Compile Error+Runtime Error,2231
G5,Compile Error+Runtime Error,3201
G5,Compile Error+Runtime Error,168
G5,Compile Error+Runtime Error,733
G5,Compile Error+Runtime Error,1988
G5,Compile Error+Runtime Error,4023
G5,Compile Error+Runtime Error,886
G5,Compile Error+Runtime Error,770
G5,Compile Error+Runtime Error,9611
G5,Compile Error+Runtime Error,15170
G5,Compile Error+Runtime Error,763
G5,Compile Error+Runtime Error,610
G5,Compile Error+Runtime Error,5733
G5,Compile Error+Runtime Error,12787
G5,Compile Error+Runtime Error,143
G5,Compile Error+Runtime Error,444
G5,Compile Error+Runtime Error,250
G5,Compile Error+Runtime Error,148
G5,Compile Error+Runtime Error,165
G5,Compile Error+Runtime Error,1926
G5,Compile Error+Runtime Error,6821
G5,Compile Error+Runtime Error,1895
G5,Compile Error+Runtime Error,474
G5,Compile Error+Runtime Error,746
G5,Compile Error+Runtime Error,13721
G5,Compile Error+Runtime Error,522
G5,Compile Error+Runtime Error,1204
G5,Compile Error+Runtime Error+Time Limit Exceeded,1007
G5,Compile Error+Runtime Error+Time Limit Exceeded,9189
G5,Compile Error+Runtime Error+Time Limit Exceeded,2525
G5,Compile Error+Runtime Error+Time Limit Exceeded,2920
G5,Compile Error+Runtime Error+Time Limit Exceeded,7133
G5,Compile Error+Runtime Error+Time Limit Exceeded,1252
G5,Compile Error+Runtime Error+Time Limit Exceeded,3715
G5,Compile Error+Runtime Error+Time Limit Exceeded,17941
G5,Compile Error+Runtime Error+Time Limit Exceeded,4084
G5,Compile Error+Runtime Error+Time Limit Exceeded,7052
G5,Compile Error+Runtime Error+Time Limit Exceeded,4747
G5,Compile Error+Runtime Error+Time Limit Exceeded,553
