group,RJ_pattern,resolution_time_sec
G6,Compile Error,97
G6,Compile Error,1499
G6,Compile Error,166
G6,Compile Error,593
G6,Compile Error,558
G6,Compile Error,219
G6,Compile Error,188
G6,Compile Error,26
G6,Compile Error,36
G6,Compile Error,33
G6,Compile Error,27
G6,Compile Error,326
G6,Compile Error,17
G6,Compile Error,47
G6,Compile Error,31
G6,Compile Error,26
G6,Compile Error,144
G6,Compile Error,61
G6,Compile Error,139
G6,Compile Error,21
G6,Compile Error,31
G6,Compile Error,43
G6,Compile Error,193
G6,Compile Error,23489
G6,Compile Error,67
G6,Compile Error,84
G6,Compile Error,32
G6,Compile Error,47
G6,Compile Error,73
G6,Compile Error,61
G6,Compile Error,14
G6,Compile Error,62
G6,Compile Error,120
G6,Compile Error,28
G6,Compile Error,35
G6,Compile Error,86
G6,Compile Error,86
G6,Compile Error,727
G6,Compile Error,84
G6,Compile Error,16
G6,Compile Error,103
G6,Compile Error,16
G6,Compile Error,57
G6,Compile Error,248
G6,Compile Error,41
G6,Compile Error,75
G6,Compile Error,221
G6,Compile Error,130
G6,Compile Error,927
G6,Compile Error,43
G6,Compile Error,68
G6,Compile Error,31
G6,Compile Error,2149
G6,Compile Error,25
G6,Compile Error,40
G6,Compile Error,24
G6,Compile Error,135
G6,Compile Error,17
G6,Compile Error,281
G6,Compile Error,30
G6,Compile Error,26
G6,Compile Error,174
G6,Compile Error,379
G6,Compile Error,34
G6,Compile Error,89
G6,Compile Error,24
G6,Compile Error,37
G6,Compile Error,19
G6,Compile Error,20
G6,Compile Error,33
G6,Compile Error,274
G6,Compile Error,75
G6,Compile Error,139
G6,Compile Error,27
G6,Compile Error,112
G6,Compile Error,86
G6,Compile Error,32
G6,Compile Error,226
G6,Compile Error,557
G6,Compile Error,93
G6,Compile Error,359
G6,Compile Error,25
G6,Compile Error,194
G6,Compile Error,54
G6,Compile Error,49
G6,Compile Error,14
G6,Compile Error,177
G6,Compile Error,405
G6,Compile Error,100
G6,Compile Error,408
G6,Compile Error,20
G6,Compile Error,66
G6,Compile Error,46
G6,Compile Error,118
G6,Compile Error,42
G6,Compile Error,2595
G6,Compile Error,18153
G6,Compile Error,273
G6,Compile Error,71
G6,Compile Error,115
G6,Compile Error,6
G6,Compile Error,119
G6,Compile Error,62
G6,Compile Error,173
G6,Compile Error,184
G6,Compile Error,53
G6,Compile Error,52
G6,Compile Error,36
G6,Compile Error,6
G6,Compile Error,34
G6,Compile Error,56
G6,Compile Error,94
G6,Compile Error,155
G6,Compile Error,107
G6,Compile Error,83
G6,Compile Error,98
G6,Compile Error,68
G6,Compile Error,25
G6,Compile Error,53
G6,Compile Error,963
G6,Compile Error,168
G6,Compile Error,2298
G6,Compile Error,459
G6,Compile Error,26
G6,Compile Error,30
G6,Compile Error,25
G6,Compile Error,24
G6,Compile Error,65
G6,Compile Error,902
G6,Compile Error,35
G6,Compile Error,274
G6,Compile Error,308
G6,Compile Error,23
G6,Compile Error,715
G6,Compile Error,3536
G6,Compile Error,210
G6,Compile Error,11
G6,Compile Error,326
G6,Compile Error,21
G6,Compile Error,1519
G6,Compile Error,770
G6,Compile Error,456
G6,Compile Error,25
G6,Compile Error,39
G6,Compile Error,105
G6,Compile Error,374
G6,Compile Error,195
G6,Compile Error,211
G6,Compile Error,61
G6,Compile Error,76
G6,Compile Error,50
G6,Compile Error,91
G6,Compile Error,31
G6,Compile Error,89
G6,Compile Error,108
G6,Compile Error,22
G6,Compile Error,72
G6,Compile Error,42
G6,Compile Error,151
G6,Compile Error,188
G6,Compile Error,215
G6,Compile Error,128
G6,Compile Error,177
G6,Compile Error,44
G6,Compile Error,8
G6,Compile Error,24
G6,Compile Error,30
G6,Compile Error,100
G6,Compile Error,98
G6,Compile Error,76
G6,Compile Error,1742
G6,Compile Error,50
G6,Compile Error,37
G6,Compile Error,142
G6,Compile Error,143
G6,Compile Error,66
G6,Compile Error,350
G6,Compile Error,40
G6,Compile Error,24
G6,Compile Error,42
G6,Compile Error,54
G6,Compile Error,570
G6,Compile Error,36
G6,Compile Error,37
G6,Compile Error,155
G6,Compile Error,74
G6,Compile Error,19
G6,Compile Error,34
G6,Compile Error,55
G6,Compile Error,179
G6,Compile Error,18
G6,Compile Error,2135
G6,Compile Error,31
G6,Compile Error,15
G6,Compile Error,20
G6,Compile Error,21
G6,Compile Error,78
G6,Compile Error,34
G6,Compile Error,25
G6,Compile Error,49
G6,Compile Error,50
G6,Compile Error,44
G6,Compile Error,95
G6,Compile Error,63
G6,Compile Error,38
G6,Compile Error,100
G6,Compile Error,145
G6,Compile Error,15
G6,Compile Error,157
G6,Compile Error,14
G6,Compile Error,13
G6,Compile Error,12
G6,Compile Error,20
G6,Compile Error,19
G6,Compile Error,307
G6,Compile Error,36
G6,Compile Error,28
G6,Compile Error,125
G6,Compile Error,15
G6,Compile Error,24
G6,Compile Error,20
G6,Compile Error,139
G6,Compile Error,546
G6,Compile Error,89
G6,Compile Error,105
G6,Compile Error,28
G6,Compile Error,29
G6,Compile Error,20
G6,Compile Error,18
G6,Compile Error,34
G6,Compile Error,30
G6,Compile Error,33
G6,Compile Error,35
G6,Compile Error,21
G6,Compile Error,21
G6,Compile Error,57
G6,Compile Error,60
G6,Compile Error,7
G6,Compile Error,18
G6,Compile Error,24
G6,Compile Error,11
G6,Compile Error,36
G6,Compile Error,17
G6,Compile Error,25
G6,Compile Error,33
G6,Compile Error,27
G6,Compile Error,40
G6,Compile Error,18
G6,Compile Error,21
G6,Compile Error,53
G6,Compile Error,50
G6,Compile Error,12
G6,Compile Error,648
G6,Compile Error,4165
G6,Compile Error,18
G6,Compile Error,20
G6,Compile Error,39
G6,Compile Error,334
G6,Compile Error,45
G6,Compile Error,27
G6,Compile Error,14
G6,Compile Error,75
G6,Compile Error,14
G6,Compile Error,94
G6,Compile Error,22
G6,Compile Error,32
G6,Compile Error,16
G6,Compile Error,34
G6,Compile Error,12
G6,Compile Error,64
G6,Compile Error,39
G6,Compile Error,29
G6,Compile Error,30
G6,Compile Error,35
G6,Compile Error,2410
G6,Compile Error,27
G6,Compile Error,30
G6,Compile Error,28
G6,Compile Error,14
G6,Compile Error,29
G6,Compile Error,16
G6,Compile Error,21
G6,Compile Error,12
