difficulty,first_error,from_state,to_state,group,count,min,q1,median,q3,max
B,Compile Error,Compile Error,Accepted,G2,1696,6,42.0,77.0,204.0,40619
B,Compile Error,Compile Error,Accepted,G3,3281,7,40.0,72.0,184.0,42894
B,Compile Error,Compile Error,Accepted,G4,5841,5,35.0,63.0,152.0,39028
B,Compile Error,Compile Error,Accepted,G5,4944,5,33.0,57.0,135.0,40710
B,Compile Error,Compile Error,Accepted,G6,7475,0,30.0,53.0,137.0,42129
B,Compile Error,Compile Error,Compile Error,G1,700,4,54.0,96.0,194.0,13485
B,Compile Error,Compile Error,Compile Error,G2,3046,5,45.0,77.0,163.0,40445
B,Compile Error,Compile Error,Compile Error,G3,4211,0,45.0,77.0,149.0,41604
B,Compile Error,Compile Error,Compile Error,G4,4741,0,43.0,73.0,150.0,42872
B,Compile Error,Compile Error,Compile Error,G5,3038,0,38.0,66.0,134.0,42329
B,Compile Error,Compile Error,Compile Error,G6,3236,0,37.0,63.0,135.0,39426
B,Compile Error,Compile Error,Runtime Error,G1,86,15,41.5,88.0,193.25,34881
B,Compile Error,Compile Error,Runtime Error,G2,467,8,38.5,63.0,134.0,12929
B,Compile Error,Compile Error,Runtime Error,G3,677,7,39.0,64.0,136.0,43029
B,Compile Error,Compile Error,Runtime Error,G4,683,5,37.0,60.0,130.0,11688
B,Compile Error,Compile Error,Runtime Error,G5,460,5,32.75,53.0,124.0,22253
B,Compile Error,Compile Error,Runtime Error,G6,440,6,32.0,51.0,119.25,36334
B,Compile Error,Compile Error,Time Limit Exceeded,G1,12,65,73.5,114.0,387.75,1885
B,Compile Error,Compile Error,Time Limit Exceeded,G2,97,14,37.0,57.0,115.0,3601
B,Compile Error,Compile Error,Time Limit Exceeded,G3,163,7,38.0,63.0,136.5,9476
B,Compile Error,Compile Error,Time Limit Exceeded,G4,206,15,32.25,56.0,117.75,24504
B,Compile Error,Compile Error,Time Limit Exceeded,G5,133,8,34.0,52.0,109.0,35943
B,Compile Error,Compile Error,Time Limit Exceeded,G6,133,11,32.0,49.0,122.0,39590
B,Compile Error,Compile Error,Wrong Answer,G1,374,10,47.0,82.5,192.0,9537
B,Compile Error,Compile Error,Wrong Answer,G2,1959,7,37.0,61.0,131.0,36601
B,Compile Error,Compile Error,Wrong Answer,G3,3395,8,38.0,61.0,130.0,33543
B,Compile Error,Compile Error,Wrong Answer,G4,4201,4,35.0,55.0,125.0,42568
B,Compile Error,Compile Error,Wrong Answer,G5,2912,5,34.75,52.0,110.0,41597
B,Compile Error,Compile Error,Wrong Answer,G6,3147,5,31.0,49.0,111.0,42731
B,Compile Error,Runtime Error,Accepted,G2,142,23,106.0,254.5,553.5,43171
B,Compile Error,Runtime Error,Accepted,G3,244,15,104.0,230.5,511.5,23264
B,Compile Error,Runtime Error,Accepted,G4,287,20,100.0,182.0,429.0,41236
B,Compile Error,Runtime Error,Accepted,G5,234,13,91.25,187.0,438.75,26996
B,Compile Error,Runtime Error,Accepted,G6,247,8,74.5,163.0,389.0,13763
B,Compile Error,Runtime Error,Compile Error,G1,28,31,126.75,205.0,359.5,1583
B,Compile Error,Runtime Error,Compile Error,G2,129,29,126.0,287.0,564.0,24375
B,Compile Error,Runtime Error,Compile Error,G3,186,17,111.0,222.5,582.5,33289
B,Compile Error,Runtime Error,Compile Error,G4,142,26,100.25,238.0,539.5,37595
B,Compile Error,Runtime Error,Compile Error,G5,92,20,122.75,250.5,485.0,36051
B,Compile Error,Runtime Error,Compile Error,G6,73,9,88.0,160.0,384.0,28141
B,Compile Error,Runtime Error,Runtime Error,G1,103,13,85.5,142.0,298.0,3180
B,Compile Error,Runtime Error,Runtime Error,G2,472,9,86.5,161.0,349.5,38970
B,Compile Error,Runtime Error,Runtime Error,G3,596,10,84.0,162.0,304.5,42464
B,Compile Error,Runtime Error,Runtime Error,G4,476,10,82.75,150.0,283.5,40585
B,Compile Error,Runtime Error,Runtime Error,G5,346,18,84.25,160.5,289.75,36596
B,Compile Error,Runtime Error,Runtime Error,G6,309,11,83.0,141.0,270.0,14743
B,Compile Error,Runtime Error,Time Limit Exceeded,G2,7,26,113.0,545.0,654.5,912
B,Compile Error,Runtime Error,Time Limit Exceeded,G3,13,35,90.0,137.0,432.0,18577
B,Compile Error,Runtime Error,Time Limit Exceeded,G4,13,39,104.0,204.0,226.0,716
B,Compile Error,Runtime Error,Time Limit Exceeded,G5,9,70,77.0,182.0,335.0,2746
B,Compile Error,Runtime Error,Time Limit Exceeded,G6,2,179,276.25,373.5,470.75,568
B,Compile Error,Runtime Error,Wrong Answer,G1,29,31,44.0,113.0,258.0,1089
B,Compile Error,Runtime Error,Wrong Answer,G2,154,16,82.25,161.5,327.0,1756
B,Compile Error,Runtime Error,Wrong Answer,G3,223,17,91.5,179.0,448.5,17939
B,Compile Error,Runtime Error,Wrong Answer,G4,211,23,98.5,193.0,461.0,11845
B,Compile Error,Runtime Error,Wrong Answer,G5,163,12,82.5,135.0,304.5,13498
B,Compile Error,Runtime Error,Wrong Answer,G6,135,9,67.0,134.0,323.5,20119
B,Compile Error,Time Limit Exceeded,Accepted,G2,33,36,134.0,249.0,739.0,8408
B,Compile Error,Time Limit Exceeded,Accepted,G3,59,38,136.5,277.0,499.5,10307
B,Compile Error,Time Limit Exceeded,Accepted,G4,86,26,126.25,326.5,592.0,26019
B,Compile Error,Time Limit Exceeded,Accepted,G5,70,24,127.5,220.5,434.25,33256
B,Compile Error,Time Limit Exceeded,Accepted,G6,57,25,105.0,191.0,505.0,14250
B,Compile Error,Time Limit Exceeded,Compile Error,G1,4,162,283.5,643.0,1205.0,1934
B,Compile Error,Time Limit Exceeded,Compile Error,G2,39,39,224.5,459.0,871.5,5080
B,Compile Error,Time Limit Exceeded,Compile Error,G3,55,41,147.5,279.0,489.5,5134
B,Compile Error,Time Limit Exceeded,Compile Error,G4,53,53,182.0,361.0,676.0,18807
B,Compile Error,Time Limit Exceeded,Compile Error,G5,23,55,141.5,389.0,664.5,39174
B,Compile Error,Time Limit Exceeded,Compile Error,G6,25,45,149.0,302.0,415.0,2360
B,Compile Error,Time Limit Exceeded,Runtime Error,G1,1,818,818.0,818.0,818.0,818
B,Compile Error,Time Limit Exceeded,Runtime Error,G2,3,106,329.5,553.0,784.0,1015
B,Compile Error,Time Limit Exceeded,Runtime Error,G3,11,46,77.0,214.0,292.0,1806
B,Compile Error,Time Limit Exceeded,Runtime Error,G4,7,104,350.5,564.0,1300.5,1825
B,Compile Error,Time Limit Exceeded,Runtime Error,G5,8,114,221.0,504.5,862.5,1210
B,Compile Error,Time Limit Exceeded,Runtime Error,G6,5,33,244.0,633.0,1901.0,2070
B,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G1,1,138,138.0,138.0,138.0,138
B,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G2,90,32,124.25,196.0,318.25,9095
B,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G3,103,6,114.5,187.0,390.0,22727
B,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G4,124,8,100.5,190.0,328.75,9448
B,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G5,48,40,106.0,150.5,252.75,1137
B,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G6,60,23,127.75,233.5,408.5,35885
B,Compile Error,Time Limit Exceeded,Wrong Answer,G1,2,155,170.75,186.5,202.25,218
B,Compile Error,Time Limit Exceeded,Wrong Answer,G2,46,9,131.75,302.0,545.0,1682
B,Compile Error,Time Limit Exceeded,Wrong Answer,G3,61,11,133.0,246.0,642.0,21337
B,Compile Error,Time Limit Exceeded,Wrong Answer,G4,100,14,105.0,297.0,803.0,34480
B,Compile Error,Time Limit Exceeded,Wrong Answer,G5,58,32,115.0,196.5,369.75,7527
B,Compile Error,Time Limit Exceeded,Wrong Answer,G6,61,33,172.0,323.0,693.0,10974
B,Compile Error,Wrong Answer,Accepted,G2,1049,18,92.0,176.0,415.0,36076
B,Compile Error,Wrong Answer,Accepted,G3,1958,10,91.0,182.0,414.75,40943
B,Compile Error,Wrong Answer,Accepted,G4,2824,7,89.75,170.0,394.25,38892
B,Compile Error,Wrong Answer,Accepted,G5,2176,15,91.0,174.5,376.25,42452
B,Compile Error,Wrong Answer,Accepted,G6,2423,7,78.0,154.0,337.0,43053
B,Compile Error,Wrong Answer,Compile Error,G1,87,10,163.5,251.0,652.5,13170
B,Compile Error,Wrong Answer,Compile Error,G2,461,18,118.0,235.0,489.0,42434
B,Compile Error,Wrong Answer,Compile Error,G3,706,22,121.25,234.5,567.5,41069
B,Compile Error,Wrong Answer,Compile Error,G4,701,11,126.0,235.0,490.0,41090
B,Compile Error,Wrong Answer,Compile Error,G5,443,19,104.0,204.0,492.0,42652
B,Compile Error,Wrong Answer,Compile Error,G6,398,10,90.75,193.0,458.5,41440
B,Compile Error,Wrong Answer,Runtime Error,G1,26,32,101.5,225.5,466.75,2628
B,Compile Error,Wrong Answer,Runtime Error,G2,86,17,118.25,218.5,404.5,23548
B,Compile Error,Wrong Answer,Runtime Error,G3,127,20,122.5,233.0,510.0,41408
B,Compile Error,Wrong Answer,Runtime Error,G4,119,28,125.0,233.0,706.0,40240
B,Compile Error,Wrong Answer,Runtime Error,G5,88,22,110.25,257.0,588.0,9723
B,Compile Error,Wrong Answer,Runtime Error,G6,77,30,105.0,204.0,655.0,29731
B,Compile Error,Wrong Answer,Time Limit Exceeded,G1,2,209,255.5,302.0,348.5,395
B,Compile Error,Wrong Answer,Time Limit Exceeded,G2,42,32,116.0,240.5,559.25,10309
B,Compile Error,Wrong Answer,Time Limit Exceeded,G3,57,34,99.0,171.0,323.0,1853
B,Compile Error,Wrong Answer,Time Limit Exceeded,G4,65,36,89.0,169.0,357.0,29314
B,Compile Error,Wrong Answer,Time Limit Exceeded,G5,34,44,130.25,286.0,448.75,3956
B,Compile Error,Wrong Answer,Time Limit Exceeded,G6,37,17,158.0,377.0,2069.0,16711
B,Compile Error,Wrong Answer,Wrong Answer,G1,555,16,89.0,166.0,359.5,15982
B,Compile Error,Wrong Answer,Wrong Answer,G2,2394,6,89.0,165.0,350.0,38864
B,Compile Error,Wrong Answer,Wrong Answer,G3,4123,0,86.0,167.0,365.0,34684
B,Compile Error,Wrong Answer,Wrong Answer,G4,4243,0,86.0,168.0,365.0,42346
B,Compile Error,Wrong Answer,Wrong Answer,G5,2692,0,83.0,164.0,344.0,38698
B,Compile Error,Wrong Answer,Wrong Answer,G6,2234,5,76.0,155.0,319.75,42167
B,Runtime Error,Compile Error,Accepted,G2,54,19,45.25,77.0,215.5,1815
B,Runtime Error,Compile Error,Accepted,G3,110,12,39.0,65.5,138.5,14450
B,Runtime Error,Compile Error,Accepted,G4,129,8,37.0,56.0,147.0,33400
B,Runtime Error,Compile Error,Accepted,G5,89,14,34.0,49.0,115.0,10518
B,Runtime Error,Compile Error,Accepted,G6,89,12,32.0,50.0,143.0,34536
B,Runtime Error,Compile Error,Compile Error,G1,14,22,69.75,85.5,134.75,419
B,Runtime Error,Compile Error,Compile Error,G2,53,15,56.0,96.0,191.0,2770
B,Runtime Error,Compile Error,Compile Error,G3,101,8,39.0,54.0,98.0,30801
B,Runtime Error,Compile Error,Compile Error,G4,105,7,38.0,65.0,121.0,5563
B,Runtime Error,Compile Error,Compile Error,G5,51,12,36.5,60.0,126.5,35256
B,Runtime Error,Compile Error,Compile Error,G6,59,8,33.5,62.0,114.0,7669
B,Runtime Error,Compile Error,Runtime Error,G1,17,10,45.0,72.0,182.0,10554
B,Runtime Error,Compile Error,Runtime Error,G2,69,17,38.0,59.0,102.0,967
B,Runtime Error,Compile Error,Runtime Error,G3,132,11,33.75,60.5,155.25,19965
B,Runtime Error,Compile Error,Runtime Error,G4,129,7,35.0,57.0,124.0,8761
B,Runtime Error,Compile Error,Runtime Error,G5,58,9,31.25,55.5,145.25,3894
B,Runtime Error,Compile Error,Runtime Error,G6,57,19,38.0,54.0,149.0,5666
B,Runtime Error,Compile Error,Time Limit Exceeded,G2,2,37,93.75,150.5,207.25,264
B,Runtime Error,Compile Error,Time Limit Exceeded,G3,7,16,41.0,46.0,54.0,332
B,Runtime Error,Compile Error,Time Limit Exceeded,G4,7,25,36.0,47.0,189.0,556
