difficulty,first_error,from_state,to_state,group,count,min,q1,median,q3,max
C,Compile Error,Compile Error,Accepted,G3,1130,6,40.0,72.0,167.5,34862
C,Compile Error,Compile Error,Accepted,G4,3066,6,37.0,65.0,149.0,42624
C,Compile Error,Compile Error,Accepted,G5,3136,5,34.0,63.0,147.0,39985
C,Compile Error,Compile Error,Accepted,G6,5001,4,30.0,54.0,136.0,43150
C,Compile Error,Compile Error,Compile Error,G1,82,13,50.0,89.0,200.0,12263
C,Compile Error,Compile Error,Compile Error,G2,542,13,51.0,86.5,194.5,9797
C,Compile Error,Compile Error,Compile Error,G3,1844,5,45.75,78.0,146.0,20790
C,Compile Error,Compile Error,Compile Error,G4,2784,5,42.0,71.0,138.25,34543
C,Compile Error,Compile Error,Compile Error,G5,2090,0,40.0,68.0,144.0,43002
C,Compile Error,Compile Error,Compile Error,G6,2461,0,37.0,62.0,129.0,41188
C,Compile Error,Compile Error,Runtime Error,G1,12,28,59.25,89.5,171.0,293
C,Compile Error,Compile Error,Runtime Error,G2,146,15,43.0,66.0,128.0,2232
C,Compile Error,Compile Error,Runtime Error,G3,418,12,40.0,74.0,170.0,15868
C,Compile Error,Compile Error,Runtime Error,G4,678,8,36.0,59.0,115.0,24032
C,Compile Error,Compile Error,Runtime Error,G5,480,6,36.0,60.5,129.5,39432
C,Compile Error,Compile Error,Runtime Error,G6,589,7,33.0,55.0,129.0,37958
C,Compile Error,Compile Error,Time Limit Exceeded,G1,3,67,80.0,93.0,107.0,121
C,Compile Error,Compile Error,Time Limit Exceeded,G2,52,20,43.5,68.0,150.75,2901
C,Compile Error,Compile Error,Time Limit Exceeded,G3,230,14,36.0,59.0,175.75,37637
C,Compile Error,Compile Error,Time Limit Exceeded,G4,440,5,35.75,63.5,175.5,42764
C,Compile Error,Compile Error,Time Limit Exceeded,G5,316,12,36.0,63.0,198.0,40342
C,Compile Error,Compile Error,Time Limit Exceeded,G6,326,9,36.0,61.5,173.75,10080
C,Compile Error,Compile Error,Wrong Answer,G1,65,14,35.0,65.0,146.0,1723
C,Compile Error,Compile Error,Wrong Answer,G2,342,8,40.0,74.0,153.25,3235
C,Compile Error,Compile Error,Wrong Answer,G3,1610,5,39.0,63.5,140.0,42602
C,Compile Error,Compile Error,Wrong Answer,G4,2931,5,35.0,59.0,125.0,41827
C,Compile Error,Compile Error,Wrong Answer,G5,2405,8,35.0,55.0,117.0,42631
C,Compile Error,Compile Error,Wrong Answer,G6,2888,5,31.0,49.0,105.0,40553
C,Compile Error,Runtime Error,Accepted,G3,111,27,120.5,195.0,642.5,42571
C,Compile Error,Runtime Error,Accepted,G4,233,14,114.0,229.0,608.0,42719
C,Compile Error,Runtime Error,Accepted,G5,216,16,94.5,206.5,502.5,30639
C,Compile Error,Runtime Error,Accepted,G6,276,16,92.5,178.0,432.0,42149
C,Compile Error,Runtime Error,Compile Error,G1,1,248,248.0,248.0,248.0,248
C,Compile Error,Runtime Error,Compile Error,G2,43,46,131.0,263.0,705.5,31357
C,Compile Error,Runtime Error,Compile Error,G3,79,19,148.5,242.0,454.5,7568
C,Compile Error,Runtime Error,Compile Error,G4,123,20,114.5,288.0,788.0,39754
C,Compile Error,Runtime Error,Compile Error,G5,81,36,96.0,241.0,716.0,30118
C,Compile Error,Runtime Error,Compile Error,G6,73,19,115.0,259.0,650.0,34527
C,Compile Error,Runtime Error,Runtime Error,G1,8,70,98.5,170.0,331.5,1798
C,Compile Error,Runtime Error,Runtime Error,G2,171,5,83.0,156.0,334.5,5093
C,Compile Error,Runtime Error,Runtime Error,G3,438,12,97.25,171.0,382.0,27541
C,Compile Error,Runtime Error,Runtime Error,G4,721,9,91.0,187.0,389.0,39625
C,Compile Error,Runtime Error,Runtime Error,G5,381,17,86.0,179.0,424.0,40568
C,Compile Error,Runtime Error,Runtime Error,G6,368,5,81.5,164.0,344.5,3953
C,Compile Error,Runtime Error,Time Limit Exceeded,G2,3,44,392.0,740.0,2159.0,3578
C,Compile Error,Runtime Error,Time Limit Exceeded,G3,22,29,65.25,258.0,555.25,2261
C,Compile Error,Runtime Error,Time Limit Exceeded,G4,40,33,86.25,198.5,580.0,5429
C,Compile Error,Runtime Error,Time Limit Exceeded,G5,28,19,80.25,196.0,591.0,2115
C,Compile Error,Runtime Error,Time Limit Exceeded,G6,24,34,95.0,256.0,461.75,27452
C,Compile Error,Runtime Error,Wrong Answer,G1,3,335,1110.5,1886.0,2128.5,2371
C,Compile Error,Runtime Error,Wrong Answer,G2,34,37,114.0,252.5,678.0,33580
C,Compile Error,Runtime Error,Wrong Answer,G3,150,24,109.0,210.0,511.75,32381
C,Compile Error,Runtime Error,Wrong Answer,G4,257,17,113.0,223.0,519.0,38598
C,Compile Error,Runtime Error,Wrong Answer,G5,151,13,101.0,232.0,558.0,43110
C,Compile Error,Runtime Error,Wrong Answer,G6,203,31,90.0,187.0,459.5,35197
C,Compile Error,Time Limit Exceeded,Accepted,G3,79,60,244.0,796.0,1256.0,10758
C,Compile Error,Time Limit Exceeded,Accepted,G4,182,52,297.0,647.0,1314.0,39851
C,Compile Error,Time Limit Exceeded,Accepted,G5,154,36,251.25,574.5,1189.75,42063
C,Compile Error,Time Limit Exceeded,Accepted,G6,180,37,163.75,417.0,974.5,41807
C,Compile Error,Time Limit Exceeded,Compile Error,G2,12,154,244.25,393.5,1365.0,2501
