difficulty,first_error,from_state,to_state,group,count,min,q1,median,q3,max
D,Compile Error,Compile Error,Accepted,G4,1023,6,37.0,64.0,140.0,40388
D,Compile Error,Compile Error,Accepted,G5,1448,5,32.0,55.0,132.0,39010
D,Compile Error,Compile Error,Accepted,G6,3935,5,29.0,51.0,121.0,41875
D,Compile Error,Compile Error,Compile Error,G1,25,20,64.0,100.0,210.0,1045
D,Compile Error,Compile Error,Compile Error,G2,91,23,50.5,76.0,131.0,1848
D,Compile Error,Compile Error,Compile Error,G3,256,9,47.75,71.0,147.5,36167
D,Compile Error,Compile Error,Compile Error,G4,1337,0,44.0,72.0,138.0,42455
D,Compile Error,Compile Error,Compile Error,G5,1345,0,44.0,75.0,142.0,42038
D,Compile Error,Compile Error,Compile Error,G6,2159,5,40.0,68.0,139.0,40694
D,Compile Error,Compile Error,Runtime Error,G1,5,37,55.0,62.0,106.0,175
D,Compile Error,Compile Error,Runtime Error,G2,31,23,41.0,69.0,133.0,3863
D,Compile Error,Compile Error,Runtime Error,G3,103,17,44.0,75.0,149.5,8126
D,Compile Error,Compile Error,Runtime Error,G4,427,10,37.5,62.0,137.0,34376
D,Compile Error,Compile Error,Runtime Error,G5,415,9,36.0,60.0,118.0,24053
D,Compile Error,Compile Error,Runtime Error,G6,752,5,33.0,57.5,123.0,41632
D,Compile Error,Compile Error,Time Limit Exceeded,G1,9,35,51.0,60.0,380.0,3568
D,Compile Error,Compile Error,Time Limit Exceeded,G2,20,15,35.5,60.0,200.0,996
D,Compile Error,Compile Error,Time Limit Exceeded,G3,109,12,41.0,63.0,143.0,19408
D,Compile Error,Compile Error,Time Limit Exceeded,G4,408,7,34.75,60.0,145.25,39059
D,Compile Error,Compile Error,Time Limit Exceeded,G5,477,7,32.0,55.0,135.0,10784
D,Compile Error,Compile Error,Time Limit Exceeded,G6,536,6,32.0,60.5,137.5,38986
D,Compile Error,Compile Error,Wrong Answer,G1,12,49,81.0,111.0,233.0,2839
D,Compile Error,Compile Error,Wrong Answer,G2,67,15,39.0,59.0,96.5,2773
D,Compile Error,Compile Error,Wrong Answer,G3,215,9,40.0,62.0,130.5,19253
D,Compile Error,Compile Error,Wrong Answer,G4,1345,4,36.0,58.0,112.0,39078
D,Compile Error,Compile Error,Wrong Answer,G5,1376,7,33.0,57.0,118.0,39622
D,Compile Error,Compile Error,Wrong Answer,G6,2467,5,31.0,51.0,106.0,41345
D,Compile Error,Runtime Error,Accepted,G4,102,19,113.25,259.0,737.75,20355
D,Compile Error,Runtime Error,Accepted,G5,140,32,116.25,356.5,927.75,40415
D,Compile Error,Runtime Error,Accepted,G6,324,5,93.75,220.0,652.5,35235
D,Compile Error,Runtime Error,Compile Error,G2,5,163,361.0,396.0,566.0,6843
