difficulty,first_error,from_state,to_state,group,count,min,q1,median,q3,max
E,Compile Error,Compile Error,Accepted,G5,310,10,34.0,54.0,114.5,41667
E,Compile Error,Compile Error,Accepted,G6,1533,5,27.0,47.0,102.0,41357
E,Compile Error,Compile Error,Compile Error,G1,4,55,76.75,110.0,345.75,975
E,Compile Error,Compile Error,Compile Error,G2,19,21,37.5,62.0,116.0,936
E,Compile Error,Compile Error,Compile Error,G3,52,19,35.0,60.5,101.75,307
E,Compile Error,Compile Error,Compile Error,G4,90,7,48.5,86.5,151.25,8912
E,Compile Error,Compile Error,Compile Error,G5,338,8,45.0,69.0,134.75,41520
E,Compile Error,Compile Error,Compile Error,G6,856,8,37.0,63.5,125.5,41667
E,Compile Error,Compile Error,Runtime Error,G1,3,29,36.0,43.0,52.5,62
E,Compile Error,Compile Error,Runtime Error,G2,11,23,40.0,52.0,268.5,2813
E,Compile Error,Compile Error,Runtime Error,G3,21,23,35.0,58.0,121.0,286
E,Compile Error,Compile Error,Runtime Error,G4,38,24,40.75,74.5,451.5,11725
E,Compile Error,Compile Error,Runtime Error,G5,145,11,34.0,55.0,98.0,33448
E,Compile Error,Compile Error,Runtime Error,G6,335,7,31.0,52.0,108.5,33195
E,Compile Error,Compile Error,Time Limit Exceeded,G1,2,132,161.5,191.0,220.5,250
E,Compile Error,Compile Error,Time Limit Exceeded,G2,9,29,64.0,122.0,237.0,1703
E,Compile Error,Compile Error,Time Limit Exceeded,G3,10,24,46.0,79.0,100.75,425
E,Compile Error,Compile Error,Time Limit Exceeded,G4,31,16,45.0,73.0,116.0,478
E,Compile Error,Compile Error,Time Limit Exceeded,G5,92,10,41.0,73.5,148.0,34587
E,Compile Error,Compile Error,Time Limit Exceeded,G6,261,9,32.0,64.0,138.0,7666
E,Compile Error,Compile Error,Wrong Answer,G1,8,26,49.5,58.0,92.75,169
E,Compile Error,Compile Error,Wrong Answer,G2,11,24,53.0,100.0,111.5,563
E,Compile Error,Compile Error,Wrong Answer,G3,46,14,36.25,66.5,118.5,1109
E,Compile Error,Compile Error,Wrong Answer,G4,105,6,40.0,53.0,113.0,5652
E,Compile Error,Compile Error,Wrong Answer,G5,420,7,35.0,56.0,132.0,21314
E,Compile Error,Compile Error,Wrong Answer,G6,1086,5,30.0,48.0,99.0,34133
E,Compile Error,Runtime Error,Accepted,G5,32,38,69.5,163.0,419.5,15603
E,Compile Error,Runtime Error,Accepted,G6,127,27,79.5,194.0,462.0,28531
E,Compile Error,Runtime Error,Compile Error,G2,1,100,100.0,100.0,100.0,100
E,Compile Error,Runtime Error,Compile Error,G3,2,78,117.25,156.5,195.75,235
E,Compile Error,Runtime Error,Compile Error,G4,3,276,802.5,1329.0,3587.0,5845
E,Compile Error,Runtime Error,Compile Error,G5,26,19,112.25,241.0,485.25,10277
E,Compile Error,Runtime Error,Compile Error,G6,42,19,142.0,252.0,573.25,22299
E,Compile Error,Runtime Error,Runtime Error,G1,2,156,1220.5,2285.0,3349.5,4414
E,Compile Error,Runtime Error,Runtime Error,G2,10,40,85.25,102.0,161.0,705
E,Compile Error,Runtime Error,Runtime Error,G3,10,62,97.0,256.5,2062.25,8927
E,Compile Error,Runtime Error,Runtime Error,G4,33,26,99.0,223.0,425.0,19074
E,Compile Error,Runtime Error,Runtime Error,G5,122,15,95.25,205.5,477.25,35954
E,Compile Error,Runtime Error,Runtime Error,G6,252,8,104.25,227.5,644.5,33178
E,Compile Error,Runtime Error,Time Limit Exceeded,G3,2,165,303.25,441.5,579.75,718
E,Compile Error,Runtime Error,Time Limit Exceeded,G4,3,84,211.0,338.0,464.0,590
E,Compile Error,Runtime Error,Time Limit Exceeded,G5,15,59,135.5,278.0,716.5,20325
E,Compile Error,Runtime Error,Time Limit Exceeded,G6,28,23,97.5,172.0,471.0,8910
E,Compile Error,Runtime Error,Wrong Answer,G1,2,156,188.25,220.5,252.75,285
E,Compile Error,Runtime Error,Wrong Answer,G2,2,1025,1200.0,1375.0,1550.0,1725
E,Compile Error,Runtime Error,Wrong Answer,G3,1,176,176.0,176.0,176.0,176
E,Compile Error,Runtime Error,Wrong Answer,G4,5,18,60.0,83.0,286.0,1222
E,Compile Error,Runtime Error,Wrong Answer,G5,52,9,87.5,211.0,529.0,38478
E,Compile Error,Runtime Error,Wrong Answer,G6,142,12,91.0,205.0,573.5,31759
E,Compile Error,Time Limit Exceeded,Accepted,G5,24,44,271.0,701.5,2010.75,12297
E,Compile Error,Time Limit Exceeded,Accepted,G6,132,15,324.75,740.5,1849.0,37911
