difficulty,first_error,from_state,to_state,group,count,min,q1,median,q3,max
F,Compile Error,Compile Error,Accepted,G6,820,6,29.0,50.0,113.25,29529
F,Compile Error,Compile Error,Compile Error,G1,2,105,106.5,108.0,109.5,111
F,Compile Error,Compile Error,Compile Error,G2,5,62,85.0,90.0,170.0,235
F,Compile Error,Compile Error,Compile Error,G3,12,24,62.5,92.5,119.5,304
F,Compile Error,Compile Error,Compile Error,G4,19,34,52.5,72.0,119.5,551
F,Compile Error,Compile Error,Compile Error,G5,63,12,41.0,61.0,102.5,2800
F,Compile Error,Compile Error,Compile Error,G6,644,7,36.0,63.0,121.0,43171
F,Compile Error,Compile Error,Runtime Error,G1,1,132,132.0,132.0,132.0,132
F,Compile Error,Compile Error,Runtime Error,G2,2,30,37.5,45.0,52.5,60
F,Compile Error,Compile Error,Runtime Error,G3,3,36,41.0,46.0,58.5,71
F,Compile Error,Compile Error,Runtime Error,G4,11,26,37.0,60.0,174.5,418
F,Compile Error,Compile Error,Runtime Error,G5,18,20,32.5,46.0,66.0,630
F,Compile Error,Compile Error,Runtime Error,G6,226,7,32.0,49.0,151.0,22434
F,Compile Error,Compile Error,Time Limit Exceeded,G2,2,36,39.25,42.5,45.75,49
F,Compile Error,Compile Error,Time Limit Exceeded,G3,5,21,33.0,108.0,381.0,800
F,Compile Error,Compile Error,Time Limit Exceeded,G4,7,33,41.5,68.0,118.5,186
F,Compile Error,Compile Error,Time Limit Exceeded,G5,21,19,66.0,92.0,142.0,421
F,Compile Error,Compile Error,Time Limit Exceeded,G6,175,6,32.0,56.0,118.0,13155
F,Compile Error,Compile Error,Wrong Answer,G1,3,124,157.0,190.0,1300.5,2411
F,Compile Error,Compile Error,Wrong Answer,G2,5,34,43.0,58.0,95.0,6456
F,Compile Error,Compile Error,Wrong Answer,G3,17,27,35.0,60.0,108.0,400
F,Compile Error,Compile Error,Wrong Answer,G4,31,19,36.0,66.0,134.0,2363
F,Compile Error,Compile Error,Wrong Answer,G5,77,16,31.0,51.0,98.0,9848
F,Compile Error,Compile Error,Wrong Answer,G6,902,6,28.0,49.0,106.75,40328
F,Compile Error,Runtime Error,Accepted,G6,100,15,65.0,158.0,590.0,39540
F,Compile Error,Runtime Error,Compile Error,G4,2,76,136.75,197.5,258.25,319
F,Compile Error,Runtime Error,Compile Error,G5,1,503,503.0,503.0,503.0,503
F,Compile Error,Runtime Error,Compile Error,G6,28,22,81.0,173.0,306.5,1092
F,Compile Error,Runtime Error,Runtime Error,G1,3,155,221.0,287.0,1413.5,2540
F,Compile Error,Runtime Error,Runtime Error,G2,2,173,189.25,205.5,221.75,238
F,Compile Error,Runtime Error,Runtime Error,G3,2,141,169.75,198.5,227.25,256
F,Compile Error,Runtime Error,Runtime Error,G4,5,91,96.0,176.0,213.0,2889
F,Compile Error,Runtime Error,Runtime Error,G5,15,56,91.5,130.0,730.5,6793
F,Compile Error,Runtime Error,Runtime Error,G6,223,12,78.5,177.0,467.0,39722
F,Compile Error,Runtime Error,Time Limit Exceeded,G6,21,39,244.0,671.0,1311.0,26494
F,Compile Error,Runtime Error,Wrong Answer,G4,1,872,872.0,872.0,872.0,872
F,Compile Error,Runtime Error,Wrong Answer,G5,2,576,3097.75,5619.5,8141.25,10663
F,Compile Error,Runtime Error,Wrong Answer,G6,96,19,91.0,205.0,548.5,40377
F,Compile Error,Time Limit Exceeded,Accepted,G6,75,13,142.0,443.0,1396.5,29905
F,Compile Error,Time Limit Exceeded,Compile Error,G4,1,57,57.0,57.0,57.0,57
F,Compile Error,Time Limit Exceeded,Compile Error,G6,33,45,296.0,655.0,3233.0,32486
F,Compile Error,Time Limit Exceeded,Runtime Error,G5,1,940,940.0,940.0,940.0,940
F,Compile Error,Time Limit Exceeded,Runtime Error,G6,14,117,351.5,719.0,1079.75,15773
F,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G2,2,511,551.5,592.0,632.5,673
F,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G3,2,11,148.0,285.0,422.0,559
F,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G4,1,1991,1991.0,1991.0,1991.0,1991
F,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G5,3,169,219.5,270.0,320.0,370
F,Compile Error,Time Limit Exceeded,Time Limit Exceeded,G6,160,11,156.5,296.5,788.0,37337
F,Compile Error,Time Limit Exceeded,Wrong Answer,G2,1,1121,1121.0,1121.0,1121.0,1121
F,Compile Error,Time Limit Exceeded,Wrong Answer,G3,1,2508,2508.0,2508.0,2508.0,2508
F,Compile Error,Time Limit Exceeded,Wrong Answer,G5,4,278,849.5,2599.5,10054.5,27741
F,Compile Error,Time Limit Exceeded,Wrong Answer,G6,85,6,166.0,455.0,948.0,15474
F,Compile Error,Wrong Answer,Accepted,G6,515,14,120.0,276.0,858.5,40227
F,Compile Error,Wrong Answer,Compile Error,G1,1,455,455.0,455.0,455.0,455
F,Compile Error,Wrong Answer,Compile Error,G4,2,70,75.25,80.5,85.75,91
F,Compile Error,Wrong Answer,Compile Error,G5,3,153,202.5,252.0,2000.5,3749
F,Compile Error,Wrong Answer,Compile Error,G6,114,14,147.25,451.0,1251.5,41537
